id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
A1,Rubo_1992,Germany,multicentre,NICU,RCT,pre-intensive-phototherapy era; conventional phototherapy only,32 analysed (34 randomised; 2 excluded protocol violations),RhD,DAT+ (Coombs+ required for entry),not stated in abstract,not stated in abstract,conventional (not intensive multi-light),modified Polacek curves +2 mg/dL,not stated in abstract,500 mg/kg,2 hours,early/rescue - as soon as diagnosis established,single dose,conventional treatment (phototherapy) alone,11/16 (69%),exchange transfusion rate,RR not calculated in abstract - raw rates 2/16 (12.5%) IVIG vs 11/16 (69%) control,,,p<0.005,lower in IVIG group (no numeric value in abstract),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none observed,not stated in abstract,not stated in abstract,not assessed,not assessed,Direct (term Rh-D; postnatal),Low,downgraded for risk of bias (unclear allocation concealment/blinding not stated) and imprecision (n=32),not stated in abstract,single-centre-era multicentre trial predating modern intensive phototherapy standards; no blinding reported; abstract-only extraction,Y,1306646,10.1016/s0022-3476(05)82551-x,Seed-list German 1990s positive RCT (§10) - confirmed. Era: pre-modern-phototherapy.
A2,Voto_1995,Argentina,single centre,NICU,RCT,pre-intensive-phototherapy era,40,RhD,not fully stated in abstract,not stated,not stated,phototherapy (standard, era-appropriate) + IVIG vs phototherapy alone,not stated in abstract,not stated in abstract,800 mg/kg/day x3 days,not stated in abstract,early (postnatal),3 daily doses,phototherapy alone,not stated numerically in abstract,"composite: hospitalisation duration, haemolysis markers, transfusion (exchange + simple)",qualitative reduction in transfusion frequency reported; no RR/CI in abstract,,,not stated in abstract (no p given for transfusion endpoint in abstract),lower rise on day 1 (no value in abstract),not stated,less transfusion (not quantified in abstract),shorter (not quantified in abstract),not stated,not stated,not stated,not stated,not stated,not stated,not assessed,not assessed,Direct (term/near-term Rh-D; postnatal),Very low,"downgraded for risk of bias (era, incomplete outcome reporting in abstract) and imprecision (n=40, abstract-only)",not stated,abstract-only; no ET-specific RR reported; small early-era trial,Y,8904473,10.1515/jpme.1995.23.6.443,"High-dose 3-day regimen, distinct from single-dose trials"
A3,Dagoglu_1995,Turkey,single centre,NICU,RCT (unblinded - no placebo control per abstract),pre-intensive-phototherapy era,41 (22 IVIG / 19 control),RhD,not stated in abstract,not stated,not stated,phototherapy (era-standard),not stated in abstract,not stated in abstract,500 mg/kg,not stated in abstract,early postnatal (soon after birth),single dose,"no treatment (untreated controls, not placebo)",not stated numerically in abstract,exchange transfusion rate,decreased significantly (no RR/CI given in abstract),,,significant (exact p not given in abstract),not stated,not stated,not stated,not stated,none observed,not stated,not stated,not stated,not stated,not assessed,not assessed,Direct (Rh-D; postnatal) but unblinded/no placebo — high risk of performance/detection bias,Very low,"downgraded for risk of bias (no blinding, no placebo, untreated rather than placebo control) and imprecision (n=41, abstract-only)",not stated,"Seed-list-type early positive trial; unblinded, no placebo — a key confound the brief's era-effects rule (CLAUDE.md #6) requires flagging",Y,7589769,10.1177/030006059502300406,Known-item test KI-2
A4,Elalfy_2010,Egypt,single centre,NICU,RCT (dose-comparison, 3-arm),"modern-era trial (2010) but 'conventional' arm reflects local practice, not necessarily UK-equivalent intensive phototherapy",90 (3 arms),RhD,not stated in abstract,"term only (\""full-term neonates\"")",excluded if already eligible for early exchange transfusion (antenatally treated cases excluded),conventional phototherapy (comparator arm),not stated numerically in abstract,not stated in abstract,0.5 g/kg (low-dose arm) or 1 g/kg (high-dose arm),not stated in abstract,early - single dose at 12 h postnatal age if phototherapy indicated,single dose (each arm),conventional treatment (phototherapy only) arm,"11/? conventional arm (22% of that arm; denominator ~50 per abstract text \""11 neonates (22%)\"")",exchange transfusion rate,22% conventional vs 5% low-dose IVIG vs 0% high-dose IVIG,,,p=0.03 (ET rate across groups),"significantly lower in IVIG arms, first 96h (no absolute values in abstract)",52.8±12.39 h (IVIG) vs 84±12.12 h (conventional),not stated,3.25±0.71 days (IVIG) vs 4.72±0.78 days (conventional),not stated,not stated,not stated,not stated,not stated,not stated,not assessed,not assessed,Direct (term Rh-D; postnatal),Low,"downgraded for risk of bias (unclear blinding/allocation concealment in abstract) and imprecision (single-centre, n=90 across 3 arms)",not stated,dose-comparison trial; comparator arm not described as 'intensive' multi-light phototherapy — indirectness vs modern UK NICU practice flagged,Y,20924607,10.1007/s00431-010-1310-8,Only identified head-to-head 0.5 vs 1 g/kg dose comparison in Rh disease
A5,Nasseri_2006,Iran,single centre,NICU,RCT,mid-2000s single-centre trial,34 (17/17),Mixed (RhD and ABO analysed separately within same trial),direct Coombs test positive (DAT+) required for entry,not stated in abstract,not stated,phototherapy (era/centre-standard) in both arms,ET if SBR >=20 mg/dL or rising >=1 mg/dL/h,not stated in abstract,0.5 g/kg every 12h x3 doses,4 hours per dose,rescue - given once significant hyperbilirubinaemia (rise >=0.5 mg/dL/h) present,3 doses,phototherapy alone,not stated numerically in abstract (both antibody types combined for headline result),"exchange transfusion rate, phototherapy duration, length of stay","significantly lower in IVIG group overall; \""efficacy of IVIg was significantly better in Rh versus ABO\"" (no separate numeric RR given in abstract)",,,significant (exact values not in abstract),not stated,shorter in IVIG group (no absolute values in abstract),late anaemia more common in IVIG group: 11.8% vs 0%,shorter in IVIG group (no absolute values in abstract),not stated,"late anaemia 11.8% (IVIG) vs 0% (control), p=0.48 (NS)",not stated,none observed during infusion,not stated,not stated,not assessed,not assessed,Direct (term/preterm not specified; Rh+ABO mixed; postnatal),Low,"downgraded for risk of bias (small, single-centre, blinding unclear) and indirectness (Rh and ABO results not fully disaggregated numerically in abstract)",not stated,"first trial in this set to report a late-anaemia signal specifically after IVIG, though NS and abstract-only",Y,17143357,,Also contributes to Domain B (ABO) and Domain E (late anaemia) — cross-referenced
A6,SmitsWintjens_Leiden_2011,Netherlands,single centre (Leiden University Medical Center),NICU,RCT (double-blind, placebo-controlled),modern era; stratified for IUT exposure; 66% had received IUT,80 (41 IVIG/39 placebo),RhD,not stated numerically (Rh haemolytic disease diagnostic criteria used),not stated (Ptext refers to 'neonates'; IUT-exposed cohort implies some preterm),53/80 (66%) received antenatal intrauterine transfusion,not stated as 'intensive' but modern Dutch NICU standard of care,not stated numerically in abstract,not stated in abstract,0.75 g/kg,not stated in abstract,"prophylactic (given regardless of bilirubin trajectory, stratified by IUT status)",single dose,placebo (5% glucose),6/39 (15%),exchange transfusion rate,RR ~1.11 (7/41 [17%] vs 6/39 [15%]),,,p=.99,14.8 (SD 4.7) mg/dL (IVIG) vs 14.1 (SD 4.9) mg/dL (placebo),4.7 (SD1.8) days (IVIG) vs 5.1 (SD 2.1) days (placebo),34/41 (83%) IVIG vs 34/39 (87%) placebo required top-up transfusion,not stated in abstract,not assessed in this report (see Domain E for dedicated NEC search),not assessed in this abstract,not assessed in this abstract,not assessed in this abstract,not assessed in this abstract,see companion paper van Klink 2015 (PMID 26159803) — no difference,RoB2,Low risk of bias (double-blind, placebo-controlled, adequately powered relative to other trials in this set),Direct (Rh-D; term+near-term; both IUT-exposed and non-exposed; postnatal) — highest-directness trial in Domain A,Moderate,"downgraded one level for imprecision (single trial, CI not given in abstract for RR, event rates modest) — otherwise low risk of bias",Sanquin Blood Supply Foundation grant (per publication; to be confirmed at full text),key null trial; the only Domain A trial specifically stratified for IUT exposure,Y,21422084,10.1542/peds.2010-3242,Known-item test KI-3; PICO-closest match to UK modern-era NICU practice
A7,Santos_Brazil_2012,Brazil,single centre,NICU,RCT (double-blind, placebo-controlled),modern era; explicit high-intensity phototherapy comparator,92 (46/46),RhD,DAT+ required for entry,>=32 weeks gestation,included both IUT-exposed and non-exposed (proportion not stated in abstract),high-intensity phototherapy in both arms,SBR >=340 micromol/L (20 mg/dL) OR rising >=8.5 micromol/L/h (0.5 mg/dL/h) despite intensive phototherapy,not stated in abstract,500 mg/kg,not stated in abstract,early (within first 6 hours of life),single dose,placebo (saline 10 mL/kg),7/46 (15.2%),exchange transfusion rate,RR ~0.86 (6/46 [13%] vs 7/46 [15.2%]),,,p=.765,"not stated numerically (\""no significant differences...peak bilirubin\"")","not stated numerically (\""no significant differences...phototherapy time\"")",not assessed/not reported in abstract,"not stated numerically (\""no significant differences...length of hospital stay\"")",not stated in abstract,not stated in abstract,not stated in abstract,"\""no adverse events related to the drug or the form of administration\""",not stated,not assessed in this report,RoB2,Low risk of bias (double-blind, placebo-controlled),Direct (Rh-D, >=32 weeks incl. late preterm; postnatal) — explicit high-intensity phototherapy makes this the most directly applicable-to-modern-UK-practice trial identified,Moderate,"downgraded one level for imprecision (single trial, wide plausible CI implied by small event counts)",not stated in abstract,key null trial under an explicitly high-intensity phototherapy comparator — most directly answers secondary question 2,Y,22882285,10.1111/j.1537-2995.2012.03827.x,Known-item test KI-3
B1,Miqdad_2004,Saudi Arabia,single centre,NICU,RCT,"early-2000s trial; conventional/era-appropriate phototherapy, not intensive multi-light",112 (56/56),ABO,DAT+ (direct Coombs test positive required for entry),term (healthy term babies),not applicable (ABO disease),phototherapy (era-standard) both arms,SBR >=340 micromol/L (20 mg/dL) OR rising >=8.5 micromol/L/h (0.5 mg/dL/h),not stated in abstract,500 mg/kg,not stated in abstract,rescue - once significant hyperbilirubinaemia present (rising >=0.5 mg/dL/h),single dose,phototherapy alone,16/56 (28.6%),exchange transfusion rate,raw rates 4/56 (7.1%) IVIG vs 16/56 (28.6%) control; RR not calculated in abstract,,,not stated numerically in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none observed (no adverse effects related to IVIG administration),late anaemia not of concern in either group (not quantified),not stated in abstract,not assessed,not assessed,Direct (term ABO disease; DAT+; postnatal),Low,"downgraded for risk of bias (randomisation/allocation method not described in abstract) and imprecision (n=112, single centre, abstract-only)",not stated in abstract,abstract-only; no RR/CI calculated; small ET numerator (4 vs 16),Y,15590442,10.1080/14767050400009873,Direct ABO-specific RCT with clearest ET numbers identified in this domain; also indexed as Shaheed 2004 by author-order variant
B2,Huang_2006,China,single centre,NICU,RCT (quasi - 'randomly divided'),"mid-2000s single-centre trial; 'routine treatment' comparator, intensity not specified",121 (61 IVIG/60 control),ABO,not stated in abstract,not stated in abstract,not applicable (ABO disease),routine treatment (unspecified) in control arm; IVIG added to routine treatment in treatment arm,not stated in abstract,not stated in abstract,400 mg/kg/day,not stated in abstract,early management,2-3 daily doses,routine treatment alone,not stated in abstract (exchange transfusion not reported as an outcome),"serum bilirubin reduction, jaundice resolution time, phototherapy duration, haemoglobin level","day-3 SBR 153.42+/-45.21 micromol/L and mean daily SBR reduction 56.49+/-24.05 micromol/L in treatment group, both lower than control (control absolute values not given in abstract)",,,P<0.01 (multiple outcomes),not stated numerically for comparator in abstract,jaundice resolution time 23.51+/-11.19 h and phototherapy time 3.01+/-0.89 h reported for treatment group only; control comparator values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"higher haemoglobin post-treatment: 15.59+/-2.01 g/L (treatment) vs lower in control (value not given), P<0.01",not assessed,not assessed,Direct (ABO disease; postnatal) but exchange transfusion (the primary guideline outcome) not reported - indirect for that question,Very low,"downgraded for risk of bias (randomisation method unclear, single-centre, no blinding stated) and indirectness (exchange transfusion not reported in this abstract)",not stated in abstract,does not report exchange transfusion rate; English abstract of Chinese-language article; several comparator values not given,Y,16982453,,ABO-specific high-dose regimen trial; contributes dose/timing data to synthesis (c) but not to the primary ET outcome
B3,Nasseri_2006_ABOsubgroup,Iran,single centre,NICU,RCT,mid-2000s single-centre trial (mixed Rh+ABO enrolment; ABO-specific result extracted here),34 total (17/17); ABO-specific subgroup n not stated separately in abstract,ABO (subgroup of mixed Rh+ABO trial),direct Coombs test positive (DAT+) required for entry,not stated in abstract,not applicable (ABO),phototherapy (centre-standard) both arms,ET if SBR >=20 mg/dL or rising >=1 mg/dL/h,not stated in abstract,0.5 g/kg every 12h x3 doses,4 hours per dose,rescue - once significant hyperbilirubinaemia present,3 doses,phototherapy alone,not stated numerically for ABO subgroup in abstract,exchange transfusion rate (ABO subgroup),no significant difference between IVIg and phototherapy alone in ABO disease; efficacy of IVIg significantly better in Rh vs ABO isoimmunisation (no numeric RR/n given for ABO subgroup in abstract),,,ABO subgroup comparison explicitly non-significant per abstract text (exact p not given for subgroup),not stated separately for ABO subgroup,not stated separately for ABO subgroup,not stated in abstract,not stated separately for ABO subgroup,not stated in abstract,"late anaemia 11.8% (IVIG) vs 0% (control), p=0.48 (NS) - whole-trial figure, not ABO-specific",not stated in abstract,none observed during infusion,not stated in abstract,not stated in abstract,not assessed,not assessed,Direct (ABO disease; DAT+; postnatal) but ABO-specific numeric results not disaggregated in abstract - indirect for quantitative synthesis,Very low,"downgraded for risk of bias (small, single-centre, blinding unclear) and serious imprecision/indirectness (ABO subgroup reported only qualitatively as non-significant, no n/RR/CI given)",not stated in abstract,key trial for the DAT+ Rh-vs-ABO efficacy comparison but the ABO arm is not quantified numerically in the abstract,Y,17143357,,"Cross-referenced with Domain A row A5 (same trial, same PMID). This row isolates the ABO-specific finding: the only identified trial directly comparing Rh vs ABO response to IVIG within one protocol"
