id,author_year,country,setting,level_of_care,design,n_patients,n_events,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,domain,fortifier_type,fortification_definition,subgroup_flag,bmf_terminology_check
D1-01,Thanigainathan 2020,multiple (Cochrane),hospital NICU,tertiary,Cochrane SR of RCTs (2 trials),237,,VLBW <1500g,Early fortification (<100 mL/kg/d or <7d PNA),Late fortification (>=100 mL/kg/d or >=7d),time to regain birth weight; linear/head growth; NEC; surgical NEC; TPN duration; LOS; mortality,No significant effect on growth or NEC,MD -0.06 d (regain BW); MD 0.10 cm/wk (linear growth); MD -0.01 cm/wk (head growth),-1.32 / -0.03 / -0.07,1.20 / 0.22 / 0.06,NS (all),"No effect on surgical NEC, TPN duration, LOS, mortality, invasive infection","Cochrane standard methods, RoB assessed by 2 authors",Cochrane RoB,lack of blinding (both trials),high (unblinded),Direct (VLBW preterm),Low,Risk of bias (lack of blinding) + imprecision (small N=237),Cochrane Neonatal,none declared,"Only 2 trials, 237 infants; one bovine one human-milk-derived fortifier confounds product with timing",No,32726863,10.1002/14651858.CD013392.pub2,"Landmark Cochrane review; defines early=<100mL/kg/d or <7d, late=>=100mL/kg/d or >=7d",1,"mixed (1 bovine powder, 1 human-milk-derived)",20 mL/kg/d (trial 1) or 40 mL/kg/d (trial 2) vs 100 mL/kg/d (both),general VLBW,Does not use BMF abbreviation
D1-02,Alyahya 2019,UK (Glasgow),hospital NICU,tertiary,Systematic review of RCTs (2 trials),171,,"VLBW <1500g, exclusively/predominantly EBM-fed",Early fortification (EF),Delayed fortification (DF),"growth, feeding intolerance, LOS, maturity at discharge",No significant impact of EF vs DF on any outcome,not pooled (narrative),,,NS (all reported),Definitions of EF/DF inconsistent between the 2 included trials,"4 independent screeners, narrative synthesis (no meta-analysis)",not specified as formal tool,,not formally graded,Direct (VLBW preterm),Low,"Imprecision (only 2 trials, 171 infants) + inconsistency (differing EF/DF definitions)",not reported in abstract,not reported in abstract,"Predecessor to Thanigainathan Cochrane review; same underlying 2 trials, narrative only",No,31326969,10.1159/000501279,1972 records screened to 2 included — high exclusion rate reflects sparse direct trial evidence,1,mixed,"varies by trial, not harmonised",general VLBW,Does not use BMF abbreviation
D1-03,Basu 2020,India,hospital NICU,tertiary,Systematic review and meta-analysis of RCTs (3 trials),309,,"preterm infants, breast milk fed",Early fortification (EF),Late fortification (LF),weight/length/head-circumference SMD; TPN days; LOS; feed intolerance; NEC,No significant difference in growth parameters; significantly LONGER hospital stay with EF,Weight SMD 0.13; Length SMD 0.02; HC SMD -0.10; LOS MD 4.29 d longer with EF,-0.09 / -0.20 / -0.33 / 0.84,0.36 / 0.25 / 0.12 / 7.75,NS for growth; significant for LOS,Non-significant trend to increased feed intolerance and NEC with EF,"RevMan 5.3, GRADE for certainty",not specified (implied Cochrane RoB),,Very low (per authors' own GRADE),"Direct (preterm, BM-fed)",Very low,"Risk of bias + imprecision (small pooled N=309) — GRADE certainty as reported by study authors, not re-derived",not reported in abstract,not reported in abstract,Only 3 RCTs; PROSPERO CRD42019139235 registered a priori,No,32458060,10.1007/s00431-020-03677-6,Key null/harms finding: early fortification associated with LONGER hospital stay despite no growth benefit — must be given full prominence per brief's null-finding rule,1,not specified/mixed,varies by trial,general preterm,Does not use BMF abbreviation
D1-04,Shah 2016,USA (Tennessee/Florida),hospital NICU,tertiary,RCT,100,2 NEC (1 each arm),VLBW infants,Early fortification at 20 mL/kg/d feeds,Delayed fortification at 100 mL/kg/d feeds,feeding intolerance episodes; time to full feeding volume; protein intake,No difference in days to full feeds or feeding intolerance episodes; higher protein intake with EF,Days to full feeds: 20 vs 20 (median),,,P=.45 (days to full feeds); P<.001 (protein intake wk1-2),Feeding intolerance episodes 58 vs 57 (NS); cumulative 4-wk protein intake 98.6 vs 89.6 g/kg (P<.001),"prospective RCT, standardized feeding protocol",not specified,unmasked (not stated as blinded),unclear/moderate,Direct (VLBW),Low,"Single small trial (n=100), imprecision, unclear blinding status",not reported in abstract,not reported in abstract,"Underpowered for NEC and mortality; single-outcome-driven design (feeding intolerance/protein intake, not growth or ND)",No,27112041,10.1016/j.jpeds.2016.03.056,One of only 2 RCTs underlying the Thanigainathan Cochrane review; the brief's canonical 20 vs 100 mL/kg/d trial. ClinicalTrials.gov NCT01988792,1,"not specified (bovine powder implied, standard-of-care era)",20 mL/kg/d (early) vs 100 mL/kg/d (delayed),general VLBW,Does not use BMF abbreviation
D1-05,Salas 2023,USA,hospital NICU,tertiary,RCT (masked),"150 randomized, 105 (70%) primary outcome assessed",11 deaths during observation,"extremely preterm, <=28 weeks",Human-milk-based fortifier from feeding day 2 (early),Standard unfortified diet until bovine fortifier ordered per usual practice,fat-free mass (FFM)-for-age z-score at 36wk PMA (primary); length gain velocity; head-circumference z-score decline,No difference in FFM-for-age z-score at 36 weeks PMA,not given numerically in abstract for primary outcome,,,not significant for primary outcome,Length gain velocity higher in intervention group; smaller HC-for-age z-score decline in intervention group,"masked RCT, air-displacement plethysmography for body composition",not specified,30% primary-outcome attrition,moderate (high attrition),Direct (extremely preterm),Moderate,"Single RCT, masked, but substantial (30%) attrition on primary outcome = imprecision/risk of bias",not reported in abstract,not reported in abstract,Primary FFM outcome null; secondary length/HC findings hypothesis-generating only,No,37551512,10.1542/peds.2023-061603,Uses human-milk-based product for the 'early' arm specifically to avoid confounding early bovine exposure — a deliberate design choice distinguishing timing from product-type questions,1,human-milk-derived (early arm) then bovine (both arms later),from feeding day 2 (extremely early) vs standard practice (usually ~100mL/kg/d),extremely preterm <28wk,Does not use BMF abbreviation; distinguishes 'human-based' vs 'standard bovine-based' explicitly
D1-06,Salas 2025,USA,hospital NICU,tertiary,RCT (unmasked),"80 randomized, 74 (92.5%) primary outcome",,"preterm, birthweight <1800g, GA 29 0/7 to 33 6/7 weeks",Early fortification (postnatal day 4-7),Delayed fortification (postnatal day 10-14),"FFM z-score at postnatal day 21 (primary); weight, length",No difference in FFM z-score,-1.7 +/- 0.9 vs -1.8 +/- 0.9,,,"P=0.64 (primary, NS)","Higher weight (median diff +131g, 95% CI 12-236, P=0.03), higher FFM in grams (+103g, 95% CI 1-193, P=0.03), higher length (+0.9cm, 95% CI 0.1-1.8, P=0.04) with early fortification","unmasked RCT, air-displacement plethysmography",not specified,unmasked design,moderate (lack of blinding),"Direct (moderate-to-late preterm, birthweight <1800g)",Low,"Small single trial (n=80), unmasked design, secondary outcomes only nominally significant with multiple comparisons",not reported in abstract,not reported in abstract,Primary FFM-z-score outcome null; positive findings are secondary/exploratory,No,39986385,10.1016/j.ajcnut.2025.02.019,ClinicalTrials.gov NCT05525585. Confounds postnatal-day AND feed-volume manipulation simultaneously (feeds already at 60-80 mL/kg/d in both arms) — flagged per brief instruction to separate volume-threshold vs postnatal-day trials,1,bovine-derived,postnatal day 4-7 (early) vs day 10-14 (delayed); both arms already at 60-80 mL/kg/d feeds,general preterm,Does not use BMF abbreviation
D1-07,Tucker 2025,USA,hospital NICU,tertiary,Secondary analysis of RCT (Salas 2023 cohort),150 (same cohort as Salas 2023),,"extremely preterm, <=28 weeks","Early fortification (human-milk-based, from day 3)",Delayed fortification (day 14),BPD severity distribution,Significant difference in BPD severity distribution favouring milder BPD in early group,"distribution comparison, not single effect size",,,P=.039,,secondary/exploratory analysis of pre-existing RCT dataset,not specified,secondary analysis = higher risk of chance finding,"high (post-hoc, unadjusted for multiplicity)",Direct (extremely preterm) but outcome (BPD) is not the RCT's pre-specified primary outcome,Very low,"Post-hoc secondary analysis, single small trial, outcome not pre-specified as primary — serious risk of bias from multiplicity",not reported in abstract,not reported in abstract,Hypothesis-generating only; BPD was not the parent trial's primary outcome,Yes,40714049,10.1016/j.jpeds.2025.114750,"Secondary analysis of the same Salas 2023 RCT cohort (D1-05) — same underlying patients, do not double-count as independent evidence",1,human-milk-derived (early arm),"day 3 (early) vs day 14 (delayed), 2-week duration",extremely preterm <28wk,Does not use BMF abbreviation
D2-01,Leaf 2012 (ADEPT),UK/Ireland,54 hospitals,tertiary,RCT,404,NEC: 18% early vs 15% late,"gestation <35wk, birthweight <10th centile, abnormal antenatal umbilical artery Doppler",Enteral feeds started 'early' (day 2),Enteral feeds started 'late' (day 6),time to full sustained enteral feeding; NEC,Full feeds achieved earlier with early feeding; no difference in NEC,Median 18d vs 21d to full feeds; HR 1.36,1.11 (HR),1.67 (HR),"NEC: NS (RR 1.2, 95% CI 0.77-1.87)","Shorter PN duration, less high-dependency care, lower cholestatic jaundice, improved discharge weight SDS with early feeding","RCT, ISRCTN registered",not specified,unblinded (feeding timing not maskable),"moderate (unblinded, unavoidable)","INDIRECT for fortification question — this trial addresses timing of ANY enteral feed initiation, not fortifier initiation/timing",Moderate,"Large multicentre RCT but indirectness: does not test fortification, only feed initiation timing, in this population",not reported in abstract,not reported in abstract,"THE key extrapolation source for Domain 2 guidance — no fortification-specific RCT exists in this subgroup; ADEPT is repeatedly used as if it answered the fortification question, which it did not",No,22492770,10.1542/peds.2011-2379,"ISRCTN87351483. This is the single most important extrapolation flag in the whole brief: guidance to 'wait for full feeds/stability' before fortifying in Doppler-abnormal infants rests on this feed-INITIATION trial, not a fortification trial",2,N/A — trial does not test fortification,N/A,AEDF-REDF,"N/A, does not discuss fortifier type"
D2-02,Kempley 2013 (ADEPT subgroup),UK/Ireland,54 hospitals,tertiary,Secondary analysis of RCT (ADEPT cohort),"404 total; 83 <29wk, 312 >=29wk",NEC 32/83 (39%) <29wk vs 32/312 (10%) >=29wk,"growth-restricted infants with abnormal antenatal Doppler, stratified by gestation <29wk vs >=29wk",Same ADEPT feeding regimen,Gestational-age subgroup comparison,time to full feeds; NEC by gestational-age stratum,"Infants <29 weeks tolerated feeds far worse and had much higher NEC than >=29 weeks, despite identical protocol",Full feeds: median 28d (IQR 22-40) vs 19d (IQR17-23); HR 0.35; NEC RR 3.7,0.3 / 2.4,0.5 / 5.7,not stated numerically beyond CIs,Infants <29wk tolerated very little milk for first 10 days and reached full feeds 9 days later than the trial regimen predicted,"prospective data from randomised trial, subgroup analysis",not specified,subgroup analysis not powered a priori for this stratification,moderate,"INDIRECT for fortification (feed-initiation trial, not fortification-specific) but DIRECT for the population (AEDF/growth-restricted, extremely preterm)",Low,Subgroup analysis of an RCT not powered for this comparison; imprecision,not reported,not reported,Confirms a uniform feeding regimen is NOT appropriate for the most preterm growth-restricted infants — directly relevant caution for extrapolating any fortification protocol to <29-week AEDF infants,No,23973795,10.1136/archdischild-2013-304393,ISRCTN87351483 (same trial as D2-01),2,N/A,N/A,AEDF-REDF; extremely preterm <28wk,N/A
D2-03,Martini 2022,Italy (Bologna),single tertiary NICU,tertiary,Retrospective cohort,570,see effect sizes,"VLBW infants 2010-2022, stratified by antenatal Doppler pattern (normal; UA-AREDF alone; UA+DV-AREDF; brain-sparing redistribution)",N/A (observational Doppler exposure),Normal-Doppler controls,time to full enteral feeds (FEF); feeding intolerance (FI); NEC; SIP,"UA+DV-AREDF infants had significantly higher FI, NEC and SIP rates and later FEF vs controls; UA-AREDF alone and brain-sparing redistribution also showed increased FI/later FEF, with brain-sparing also raising NEC",not pooled as single RR/OR in abstract — stratified comparison across 4 Doppler categories,,,significant differences reported across strata (not itemised numerically in abstract),Demonstrates a Doppler-severity gradient of GI risk: UA-AREDF alone < UA+DV-AREDF for FI/NEC/SIP severity,"retrospective chart review, Doppler-based stratification",not specified (observational),"retrospective, single-centre, no fortification-specific data extracted","high risk of bias (retrospective, uncontrolled for fortification exposure specifically)","Direct for the population (AEDF/REDF) and for GI outcomes generally, but does NOT isolate fortification as an exposure — it studies Doppler status vs GI outcomes generally, not fortification timing/safety specifically",Very low,"Observational, single-centre, retrospective; does not directly test a fortification intervention — indirectness for the fortification question specifically, serious risk of bias for the association it does test",not reported in abstract,not reported in abstract,"Closest available evidence to a 'fortification-in-AEDF' dataset, but is actually a general GI-outcome-by-Doppler-status cohort; no data on whether/when fortifier was added is reported in the abstract",Yes,36501150,10.3390/nu14235121,"This is the paper the brief specifically asks to be distinguished from a true fortification trial — it is GI-outcome epidemiology, not an interventional fortification comparison",2,not addressed,not addressed,AEDF-REDF,N/A
