id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
B1,Miqdad_2004,Saudi Arabia,single centre,NICU,RCT,"early-2000s trial; conventional/era-appropriate phototherapy, not intensive multi-light",112 (56/56),ABO,DAT+ (direct Coombs test positive required for entry),term (healthy term babies),not applicable (ABO disease),phototherapy (era-standard) both arms,SBR >=340 micromol/L (20 mg/dL) OR rising >=8.5 micromol/L/h (0.5 mg/dL/h),not stated in abstract,500 mg/kg,not stated in abstract,rescue - once significant hyperbilirubinaemia present (rising >=0.5 mg/dL/h),single dose,phototherapy alone,16/56 (28.6%),exchange transfusion rate,raw rates 4/56 (7.1%) IVIG vs 16/56 (28.6%) control; RR not calculated in abstract,,,not stated numerically in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none observed (no adverse effects related to IVIG administration),late anaemia not of concern in either group (not quantified),not stated in abstract,not assessed,not assessed,Direct (term ABO disease; DAT+; postnatal),Low,"downgraded for risk of bias (randomisation/allocation method not described in abstract) and imprecision (n=112, single centre, abstract-only)",not stated in abstract,abstract-only; no RR/CI calculated; small ET numerator (4 vs 16),Y,15590442,10.1080/14767050400009873,Direct ABO-specific RCT with clearest ET numbers identified in this domain; also indexed as Shaheed 2004 by author-order variant
B2,Huang_2006,China,single centre,NICU,RCT (quasi - 'randomly divided'),"mid-2000s single-centre trial; 'routine treatment' comparator, intensity not specified",121 (61 IVIG/60 control),ABO,not stated in abstract,not stated in abstract,not applicable (ABO disease),routine treatment (unspecified) in control arm; IVIG added to routine treatment in treatment arm,not stated in abstract,not stated in abstract,400 mg/kg/day,not stated in abstract,early management,2-3 daily doses,routine treatment alone,not stated in abstract (exchange transfusion not reported as an outcome),"serum bilirubin reduction, jaundice resolution time, phototherapy duration, haemoglobin level","day-3 SBR 153.42+/-45.21 micromol/L and mean daily SBR reduction 56.49+/-24.05 micromol/L in treatment group, both lower than control (control absolute values not given in abstract)",,,P<0.01 (multiple outcomes),not stated numerically for comparator in abstract,jaundice resolution time 23.51+/-11.19 h and phototherapy time 3.01+/-0.89 h reported for treatment group only; control comparator values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"higher haemoglobin post-treatment: 15.59+/-2.01 g/L (treatment) vs lower in control (value not given), P<0.01",not assessed,not assessed,Direct (ABO disease; postnatal) but exchange transfusion (the primary guideline outcome) not reported - indirect for that question,Very low,"downgraded for risk of bias (randomisation method unclear, single-centre, no blinding stated) and indirectness (exchange transfusion not reported in this abstract)",not stated in abstract,does not report exchange transfusion rate; English abstract of Chinese-language article; several comparator values not given,Y,16982453,,ABO-specific high-dose regimen trial; contributes dose/timing data to synthesis (c) but not to the primary ET outcome
B3,Nasseri_2006_ABOsubgroup,Iran,single centre,NICU,RCT,mid-2000s single-centre trial (mixed Rh+ABO enrolment; ABO-specific result extracted here),34 total (17/17); ABO-specific subgroup n not stated separately in abstract,ABO (subgroup of mixed Rh+ABO trial),direct Coombs test positive (DAT+) required for entry,not stated in abstract,not applicable (ABO),phototherapy (centre-standard) both arms,ET if SBR >=20 mg/dL or rising >=1 mg/dL/h,not stated in abstract,0.5 g/kg every 12h x3 doses,4 hours per dose,rescue - once significant hyperbilirubinaemia present,3 doses,phototherapy alone,not stated numerically for ABO subgroup in abstract,exchange transfusion rate (ABO subgroup),no significant difference between IVIg and phototherapy alone in ABO disease; efficacy of IVIg significantly better in Rh vs ABO isoimmunisation (no numeric RR/n given for ABO subgroup in abstract),,,ABO subgroup comparison explicitly non-significant per abstract text (exact p not given for subgroup),not stated separately for ABO subgroup,not stated separately for ABO subgroup,not stated in abstract,not stated separately for ABO subgroup,not stated in abstract,"late anaemia 11.8% (IVIG) vs 0% (control), p=0.48 (NS) - whole-trial figure, not ABO-specific",not stated in abstract,none observed during infusion,not stated in abstract,not stated in abstract,not assessed,not assessed,Direct (ABO disease; DAT+; postnatal) but ABO-specific numeric results not disaggregated in abstract - indirect for quantitative synthesis,Very low,"downgraded for risk of bias (small, single-centre, blinding unclear) and serious imprecision/indirectness (ABO subgroup reported only qualitatively as non-significant, no n/RR/CI given)",not stated in abstract,key trial for the DAT+ Rh-vs-ABO efficacy comparison but the ABO arm is not quantified numerically in the abstract,Y,17143357,,"Cross-referenced with Domain A row A5 (same trial, same PMID). This row isolates the ABO-specific finding: the only identified trial directly comparing Rh vs ABO response to IVIG within one protocol"
B4,Alpay_1999,Turkey,single centre (Gulhane Military Medical Academy),NICU,RCT,"late-1990s trial; conventional phototherapy comparator, pre-intensive-phototherapy era",116 (58/58),"Mixed (ABO and/or Rh incompatibility, combined analysis)",DAT+ (positive direct antiglobulin test required for entry),not stated in abstract,not stated in abstract,conventional phototherapy (comparator arm),SBR >290 micromol/L AND rising >17 micromol/L/h despite both treatments,not stated in abstract,1 g/kg,4 hours,early - as soon as diagnosis established,single dose,conventional phototherapy alone,22/58 (37.9%),exchange transfusion rate,8/58 (13.8%) IVIG vs 22/58 (37.9%) control; RR not calculated in abstract,,,p<0.001,not stated in abstract,significantly shorter in HDIVIG group (no absolute values in abstract),not stated in abstract,significantly shorter in HDIVIG group (no absolute values in abstract),not stated in abstract,not stated in abstract,not stated in abstract,none observed,not stated in abstract,not stated in abstract,not assessed,not assessed,"Indirect for the ABO-specific question - mixed ABO+Rh population, results not disaggregated by antibody type in abstract; pre-intensive-phototherapy era",Low,"downgraded for risk of bias (era, blinding/allocation concealment not described) and indirectness (ABO and Rh combined, not analysed separately)",not stated in abstract,mixed ABO/Rh trial with no antibody-type-specific breakdown of the primary outcome in the abstract,Y,10102158,10.1080/08035259950170420,Also directly relevant to Domain A (Rh); logged here for Domain B because ABO cases are included but not separable from Rh cases
B5,Tanyer_2001,Turkey,"single centre (Ankara Hospital, Ministry of Health)",not stated (implied nursery/NICU),"RCT (3-arm, quasi-randomised)",early-2000s trial; phototherapy given in all three arms,61 (3 groups; group-level n not given in abstract),"Mixed (ABO and Rh haemolytic disease, combined analysis)",not stated in abstract,not stated in abstract,not stated in abstract,phototherapy in all three groups,not stated in abstract,not stated in abstract,not stated numerically in abstract (multiple- vs single- vs no-IVIG dose comparison),not stated in abstract,not stated in abstract,Group I multiple doses; Group II single dose; Group III none,single-dose IVIG (Group II) and no-IVIG (Group III) vs multiple-dose IVIG (Group I),Group II 12%; Group III (no IVIG) 33%,exchange transfusion rate,"0% (Group I, multiple dose) vs 12% (Group II, single dose) vs 33% (Group III, no IVIG); RR not calculated in abstract",,,not stated in abstract,not stated in abstract,shorter in Group I than Groups II and III (no absolute values in abstract),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not assessed,"Indirect for the ABO-specific question - mixed ABO+Rh population, not disaggregated by antibody type",Very low,"downgraded for risk of bias (randomisation method and blinding not described, small n=61 across 3 arms) and indirectness (ABO/Rh mixed, no antibody-type subgroup breakdown)",not stated in abstract,only identified trial directly comparing multiple-dose vs single-dose vs no-IVIG regimens; group-level n and CI not reported in abstract,Y,11245352,10.1093/tropej/47.1.50,Contributes to the dose/repeat-dosing question (c); mixed population limits ABO-specific inference
B6,Hu_2026,China,multicentre (implied; two centre affiliations reported),not stated (implied NICU/nursery),"RCT (4-arm: control, IVIG, plasma exchange, IVIG+PE)","modern-era trial (2026); comparator described only as 'Control', phototherapy intensity not stated","162 (Control 39, IVIG 42, PE 41, IVIG+PE 40)",ABO,not stated in abstract,not stated in abstract ('neonates'),not applicable (ABO),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,Control (no IVIG/PE); also head-to-head vs PE alone and vs IVIG+PE,not stated in abstract (exchange transfusion not reported as an outcome),"serum biomarkers (prealbumin, total bile acid, total bilirubin, procalcitonin, hs-CRP, antibody titre), neurodevelopment (NBNA), comfort, quality of life (PedsQL4.0)","IVIG+PE group showed the most significant improvement in PA, TBA, TBIL, PCT, hs-CRP and antibody titre (p<0.05) vs other groups; exact values not given in abstract",,,p<0.05 (multiple outcomes; values not individually specified in abstract),not stated numerically (TBIL improved most in IVIG+PE group per abstract),not stated in abstract,not stated in abstract,hospitalisation time reduced (not quantified in abstract),not stated in abstract,not stated in abstract,not stated in abstract,adverse event rates lower in all treatment groups than control (p<0.05); not quantified numerically in abstract,not stated in abstract,NBNA scores significantly enhanced in IVIG+PE group (values not given in abstract),not assessed,not assessed,Indirect for the primary ET-reduction question - exchange transfusion not reported as an outcome; trial addresses biomarker/QoL endpoints only,Very low,"downgraded for indirectness (does not report exchange transfusion, the guideline-relevant primary outcome) and risk of bias (allocation/blinding not described in abstract)",not stated in abstract,"most recent ABO-specific RCT identified but does not address the exchange-transfusion outcome; IVIG alone did not reach the significance seen only when combined with plasma exchange, a co-intervention outside standard UK NICU practice",Y,41968063,10.1111/vox.70265,"2026 4-arm RCT; only trial in this domain combining IVIG with plasma exchange; included per eligibility (postnatal IVIG in ABO-HDN, any comparator) but not directly applicable to a UK unit guideline"
B7,Okulu_2022,Turkey,"multicentre (national registry, >20 centres)",NICU (implied),retrospective cohort (registry-based),modern era; Turkish Neonatal Jaundice Online Registry; LED phototherapy per AAP/Turkish Neonatal Society guideline,"531 (408 phototherapy-only, 123 IVIG)",ABO,not stated in abstract,term,not applicable (ABO),"LED phototherapy per AAP/Turkish Neonatal Society guideline thresholds, both groups",not stated numerically in abstract (per AAP/Turkish Neonatal Society guideline),not stated in abstract,not stated in abstract ('one dose of IVIG'),not stated in abstract,given when bilirubin within 2-3 mg/dL of exchange threshold or above,single dose,LED phototherapy alone,"not stated numerically in abstract (reported only as lower than IVIG group, p<0.001)",exchange transfusion rate,need for exchange transfusion was higher in the IVIG group than the phototherapy-only group (direction of effect unfavourable to IVIG); exact rates/RR not given in abstract,,,p<0.001,not stated in abstract,longer in IVIG group (p<0.001); absolute values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not applicable/not stated,not stated in abstract,not stated in abstract,re-hospitalisation rate higher in IVIG group (p<0.001); acute bilirubin encephalopathy rate higher in IVIG group (p=0.01),not stated in abstract (ABE reported as a proxy; see other_harms),not assessed,high risk of bias (retrospective registry cohort; confounding by indication likely - IVIG group had earlier presentation and lower baseline haemoglobin),Direct (term ABO-HDN; postnatal; near exchange-threshold bilirubin) but non-randomised - confounding by indication cannot be excluded,Very low,"downgraded for risk of bias (retrospective, non-randomised, likely confounding by indication - sicker/earlier-presenting infants selected for IVIG) and indirectness of the observed association (harm signal may reflect indication bias rather than a causal effect)",not stated in abstract,"largest cohort identified in Domain B (n=531) but retrospective and non-randomised; confounding by indication is the most likely explanation for the paradoxical direction of effect, not proof of harm",Y,35573949,10.3389/fped.2022.864609,"Largest ABO-specific dataset identified; single-dose IVIG given near ET threshold was associated with MORE exchange transfusion, longer phototherapy, more re-hospitalisation and more acute bilirubin encephalopathy than phototherapy alone - a null-or-harm signal requiring cautious interpretation given the non-randomised design"
B8,Daunov_2022,USA,single centre,not stated (implied NICU/nursery),retrospective cohort,"modern era (2007-2016 birth cohort, US tertiary centre)","579 (98 IVIG, 352 phototherapy, remainder other/no active treatment)",ABO (Rh incompatibility excluded by design),431/579 (74%) DAT-positive; remainder DAT-negative or not tested - outcomes not disaggregated by DAT status in abstract,>=38 weeks,not applicable (ABO),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,phototherapy alone / no IVIG,not stated numerically by group (6/579 [1%] of the whole cohort required exchange transfusion),number/use of packed red cell and exchange transfusions,"IVIG use was not associated with decreased use or number of transfusions (p=0.5148 for use, p=0.3333 for number)",,,p=0.5148 (transfusion use); p=0.3333 (transfusion number),"IVIG group had higher bilirubin at start of phototherapy: 9.1 vs 8.1 mg/dL, p=0.0064",not stated numerically in abstract,36/579 (6%) received pRBC transfusion overall; group-specific rates not given in abstract,not stated in abstract,not stated in abstract,"IVIG group had lower initial haemoglobin: 13.6 vs 16.0 g/dL, p<=0.0001",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,"high risk of bias (retrospective, non-randomised, confounding by indication - IVIG group had lower baseline haemoglobin and higher bilirubin)","Direct (term ABO-HDN; postnatal) but non-randomised; provides the only DAT-positivity denominator (74%) identified in this domain, though outcomes are not stratified by DAT status",Very low,"downgraded for risk of bias (retrospective, confounding by indication) and imprecision (small transfused/exchanged subgroup, n=6 exchanged in the whole cohort)",not stated in abstract,DAT status recorded (74% positive) but exchange/transfusion outcomes not reported separately by DAT status - cannot answer the DAT+ vs DAT- efficacy question directly,Y,38286423,10.1055/a-2255-8772,Largest single-centre US cohort identified; reports DAT-positivity prevalence (74%) but no DAT-stratified outcome data - logged as an absence-of-evidence data point for the DAT-negative research question
B9,Pan_2021,China,"single centre (Children's Hospital, Zhejiang University)",not stated (implied NICU/nursery),retrospective cohort,modern era (2017 birth cohort),"114 (46 IVIG, 68 phototherapy-only)",ABO,not stated in abstract,"not stated in abstract (early neonatal period, <7 days)",not applicable (ABO),not stated in abstract,not stated in abstract,IVIG (IgG); product not further specified in abstract,not stated in abstract,not stated in abstract,early neonatal period (<7 days),not stated in abstract,phototherapy alone,not stated numerically in abstract (p=0.65 for need for exchange transfusion),"duration of phototherapy, hospitalisation, need for exchange transfusion, transfusions, bilirubin-induced neurological sequelae","no significant difference between groups for any outcome (P=0.20, 0.27, 0.65, 0.47, 0.78 respectively)",,,0.20 (phototherapy duration); 0.27 (hospitalisation); 0.65 (exchange transfusion); 0.47 (transfusions); 0.78 (BIND sequelae),not stated in abstract,no significant difference (p=0.20); absolute values not given in abstract,no significant difference (p=0.47); absolute values not given in abstract,no significant difference (p=0.27); absolute values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,bilirubin-induced neurological sequelae: no significant difference (p=0.78); rates not given in abstract,assessed as bilirubin-induced neurological sequelae; no significant difference (p=0.78),not assessed,"high risk of bias (retrospective, non-randomised)","Direct (ABO-HDN, moderate-to-severe, early neonatal period; postnatal) but non-randomised",Very low,"downgraded for risk of bias (retrospective, non-randomised, indication for IVIG not standardised) and imprecision (n=114, no absolute effect sizes reported in abstract)",not stated in abstract,authors' own conclusion: 'unnecessary to expose neonates to IVIG ... when the available data show no appreciable benefits',Y,33589732,10.1038/s41372-021-00963-5,"Null retrospective cohort, concordant in direction with the placebo-controlled Rh RCTs in Domain A"
B10,AlLawama_2019,Jordan,single centre (Jordan University Hospital),not stated (implied NICU/nursery),retrospective case-control,"modern era; IVIG given at attending discretion (variable criteria, not protocolised)","202 (94 IVIG, 108 control)",Mixed isoimmune haemolytic disease; most common cause ABO incompatibility (proportion not given numerically in abstract),not stated in abstract,most infants term (exact range not given in abstract),not stated in abstract,phototherapy in both groups,not stated in abstract (attending discretion),not stated in abstract,not stated in abstract,not stated in abstract,given when phototherapy threshold reached or exchange-transfusion level approached (attending discretion),not stated in abstract,phototherapy alone,not stated numerically in abstract (reported qualitatively as higher in IVIG group),"rebound hyperbilirubinaemia, blood transfusion, exchange transfusion rate","IVIG group had MORE severe haemolysis (peak bilirubin 14.6+/-3.7 mg/dL vs 12.6+/-3.0 mg/dL, p=0.0001) and higher rates of rebound hyperbilirubinaemia, blood transfusion and exchange transfusion (rates not given numerically in abstract)",,,p=0.0001 (peak bilirubin comparison),"14.6+/-3.7 mg/dL (IVIG) vs 12.6+/-3.0 mg/dL (control), p=0.0001",not stated in abstract,higher in IVIG group (rate not given numerically in abstract),not stated in abstract,not stated in abstract,more severe in IVIG group by design (indication bias - IVIG selectively given to infants with worse haemolysis),not stated in abstract,no side effects documented in all included infants,higher rebound hyperbilirubinaemia in IVIG group (not quantified numerically in abstract),not stated in abstract,not assessed,"high risk of bias (retrospective, non-randomised, IVIG indication variable/attending discretion; clear confounding by indication - IVIG group had significantly worse baseline haemolysis)","Direct in population (isoimmune HDN, predominantly ABO) but confounded by indication; not a valid comparative efficacy estimate",Very low,downgraded for very serious risk of bias (confounding by indication is severe and is the most plausible explanation for the observed direction of effect) - this study cannot support a causal efficacy or harm conclusion,not stated in abstract,"IVIG selectively given to sicker infants (higher peak bilirubin); the higher transfusion/exchange rate in the IVIG group reflects indication bias, not a causal effect of IVIG, and should not be read as evidence of harm",Y,31803318,10.14740/jocmr4003,Illustrates why non-randomised comparisons of IVIG in ABO/isoimmune disease are unreliable in either direction; included per eligibility (cohort/case-control >=5) but heavily caveated in synthesis
