ref_id,first_author,year,journal,pmid,doi,design,setting,n,ga_stratum,agent,regimen_intervention,regimen_comparator,total_course_mg,interval_hours,key_neonatal_outcomes,key_maternal_outcomes,followup_age,followup_NDD_outcome,risk_of_bias,grade_certainty,addresses_question,notes
1,Stock SJ (RCOG GTG74),2022,BJOG,35172391,10.1111/1471-0528.17027,guideline,UK,not applicable,mixed,dexamethasone and betamethasone,"Dexamethasone 24mg total: 2x12mg 24h apart OR 4x6mg 12h apart","Betamethasone 24mg total: 2x12mg 24h apart (Na phosphate/acetate mix)",24,"24 or 12 (two named alternatives; NOT 12mg at 12h)",not applicable,not applicable,not applicable,not applicable,guideline - not RoB assessed,not applicable (guideline),Q1,"Does NOT name a 12mg-12-hourly option anywhere identified; full PDF blocked by egress proxy this session, wording reconstructed from WebSearch snippets"
2,Oladapo OT (WHO ACTION-I),2020,N Engl J Med,33095526,10.1056/NEJMoa2022398,RCT multicountry individually-randomised double-blind placebo-controlled,"Low-resource: Bangladesh India Kenya Nigeria Pakistan",2852 women/3070 fetuses,26+0-33+6 weeks,dexamethasone vs placebo,"6mg IM every 12 hours, maximum 4 doses (WHO standard regimen)",placebo,24,12,"Neonatal death RR 0.84 (95% CI 0.72-0.97); stillbirth or neonatal death RR 0.88 (0.78-0.99)",possible maternal bacterial infection RR 0.76 (0.56-1.03),to 28 days neonatal only,not reported in this paper,"Large multicentre RCT; stopped early for benefit at interim analysis",High for neonatal death (large RCT; early-stopping caveat),Q1/Q3,"Confirms WHO standard regimen is 6mg q12h x4, NOT 12mg q12h; low-resource setting, not directly generalisable to UK Level 3 unit as efficacy evidence but regimen mapping is reliable"
3,Crowther CA (ASTEROID),2019,Lancet Child Adolesc Health,31523039,10.1016/S2352-4642(19)30292-5,RCT double-blind multicentre,Australia/New Zealand (14 hospitals; high-income),1346 women/1509 fetuses,<34 weeks singleton or twin,dexamethasone vs betamethasone,"Dexamethasone Na phosphate 12mg IM x2, 24h apart",Betamethasone (Celestone Chronodose) 11.4mg IM x2 24h apart,24 (dex) / 22.8 (beta),24,"[full 2-year NDD figures pending Q6 subagent integration - see synthesis]",[pending],2 years corrected age,"[pending Q6 integration - cerebral palsy RR and CI to be confirmed exactly as published]",Primary outcome ascertained in 79% of survivors; otherwise low RoB (blinded RCT),Moderate (single large RCT; imprecision at outer CI bound),Q1/Q3/Q6,"THE definitive head-to-head dex vs beta RCT; uses the 24-HOURLY 2-dose dexamethasone regimen (RCOG alternative), NOT the WHO 12-hourly 4-dose regimen and NOT the unit's 12-hourly 2-dose regimen under review - does not test interval at all, only agent"
4,Williams MJ (Cochrane regimen review),2022,Cochrane Database Syst Rev,35943347,10.1002/14651858.CD006764.pub4,SR-MA,High-income countries only (all 11 trials),2494 women/2762 infants overall,mixed (pooled),dexamethasone vs betamethasone; also within-drug regimen/preparation comparisons,"All trials IM; total course dose consistent at 22.8mg or 24mg but regimen (interval/number of doses) varied across trials",dexamethasone vs betamethasone head-to-head; also 3 regimen-comparison studies (oral vs IM dex; beta acetate+phosphate vs phosphate alone; 12-hourly vs 24-hourly BETAMETHASONE),24,"varied across the 3 regimen studies; NO dexamethasone-interval study identified","regimen-comparison sub-studies rated very-low certainty due to small size/risk of bias - see Q3 subagent for exact figures",not primary stratifier,not a primary stratifier,2 years (1 trial only),"cerebral palsy RR 2.50 (95% CI 0.97-6.39), 1 trial, 1223 children, low certainty [carried from prior verified session; re-confirmed by Q6 subagent]","1 new study no serious RoB; 6 moderate RoB; 2 high RoB","Very low for all regimen-comparison findings; Low-Moderate for agent (dex vs beta) findings",Q1/Q3/Q6,"AUTHORITATIVE SOURCE for the premise statement: explicitly states only 3 regimen-comparison studies exist in the ENTIRE global trial base, one being 12h-vs-24h BETAMETHASONE (not dexamethasone); concludes evidence 'does not support the use of one particular corticosteroid regimen over another' - this IS the confirmation that no dexamethasone-interval trial exists anywhere"
5,Chawanpaiboon S,2023,Am J Obstet Gynecol,37442247,10.1016/j.ajog.2023.07.006,RCT open-label noninferiority pragmatic,Thailand (Siriraj Hospital, single centre),370 women,32-36+6 weeks (late/moderate preterm),dexamethasone 5mg vs 6mg (dose-amount comparison, NOT interval),"5mg IM q12h x4 doses or until delivery",6mg IM q12h x4 doses or until delivery,20 (5mg arm) or 24 (6mg arm),12 (SAME interval in both arms - this trial does not test interval),"RDS 2.2% (5mg) vs 1.6% (6mg); proportional difference 0.6% (95% CI -2.8 to 43.9), within predefined 10% noninferiority margin","not the focus of this trial abstract",not applicable (neonatal outcomes only in retrieved abstract),not applicable,Single centre open-label,Low-Moderate (single RCT, most births >34 weeks, substantial course incompletion),Q1/Q3,"Tests per-dose AMOUNT (5mg vs 6mg) at a FIXED 12-hourly interval - confirms 12-hourly x4 dosing is used as a standard comparator in a contemporary (2023) RCT, but is NOT interval evidence and must not be cited as such"
6,Khandelwal M,2012,Am J Obstet Gynecol,22381601,10.1016/j.ajog.2012.01.025,RCT open-label noninferiority 2:1 allocation,USA single centre (Cooper University Hospital NJ),228 mothers/260 fetuses,23-34 weeks,BETAMETHASONE 12h vs 24h interval (NOT dexamethasone),Betamethasone 2 doses 12h apart,Betamethasone 2 doses 24h apart,24 (both arms),12 vs 24,"RDS 36.5% (12h) vs 37.3% (24h) NS; NEC 6.2% (12h) vs 0% (24h) P=.03","not reported beyond NEC/RDS in retrieved abstract",not reported (no neurodevelopmental follow-up),none reported,"Single centre open-label small sample",Very low,Q1/Q2/Q3,"ONLY interval RCT identified for EITHER agent anywhere in the literature (confirmed via Cochrane 2022 regimen review as one of only 3 regimen-comparison studies in existence); concerns BETAMETHASONE not dexamethasone - different formulation (depot acetate ester) so not directly transferable; NEC signal from small numbers, unreplicated despite authors' own call for a larger trial"
7,Brownfoot FC (Cochrane regimen review 2013),2013,Cochrane Database Syst Rev,23990333,10.1002/14651858.CD006764.pub3,SR-MA (superseded by Williams 2022),Multiple high-income,1557 women/1661 infants (12 trials),mixed,dexamethasone and betamethasone regimen/preparation comparisons,various,various,not applicable (pooled across different comparisons),varied,"No dexamethasone-interval trial identified; betamethasone 12h vs 24h: shorter maternal postpartum stay with 12h interval (MD -0.73 days 95% CI -1.28 to -0.18, 1 trial, 215 women), no other maternal/neonatal differences reported","maternal postpartum length of stay (see above)",not applicable,not applicable,per review authors,Low/very low per review,Q1/Q3,"SUPERSEDED by Williams 2022 (ref_id 4) - retained as historical corroboration that no dexamethasone-interval trial existed as of 2013 either"
8,Daskalakis G (European perinatal guideline),2023,J Matern Fetal Neonatal Med,36689999,10.1080/14767058.2022.2160628,guideline/consensus statement,Europe-wide panel,not applicable,not applicable,dexamethasone and betamethasone,"Defines dexamethasone 6mg IM x4 12h apart AND dexamethasone 12mg IM x2 24h apart as the only two endorsed dexamethasone regimens",betamethasone 12mg IM x2 24h apart,24,"12 or 24 (two named options; NOT 12mg at 12h)",not applicable (guideline text only),not applicable,not applicable,not applicable,guideline - not RoB assessed,not applicable (guideline consensus, not graded evidence),Q1,"Independent European corroboration of the RCOG/WHO regimen mapping - confirms only Regimens A and B are formally endorsed anywhere identified; Regimen C (12mg 12-hourly) is absent from this guideline too"
9,Oladapo OT (WHO ACTION-I protocol),2019,Trials,31420064,10.1186/s13063-019-3488-z,trial protocol,as ACTION-I,6018 planned,26+0-33+6 weeks,dexamethasone vs placebo,"6mg IM every 12h to a total of 4 doses (0/12/24/36h) = 24mg total (verified via full text)",identical placebo schedule,24,12,protocol/methods only,protocol/methods only,not applicable,not applicable,protocol paper,not applicable,Q1/Q3,"Full-text-verified exact wording of Regimen A as used in ACTION-I - confirms this is a dexamethasone-vs-placebo trial, not a regimen-comparison trial, and uses Regimen A (not B or C) throughout"
10,Carter SW,2024,BMC Medicine,39183288,10.1186/s12916-024-03542-5,animal experimental (fetal sheep),laboratory,11-12 fetuses/arm,not applicable (animal study),dexamethasone dose/interval comparison in sheep,"'Dex High': dexamethasone 2x12mg IM 12h apart (explicitly described by authors as representing a clinical regimen used in Singapore - i.e. REGIMEN C) vs 'Dex Low': 4x1.5mg q12h",betamethasone-acetate comparator arm and saline control,24 (Dex High) or 6 (Dex Low),12 (Dex High arm matches Regimen C exactly),"Both Dex High and Dex Low arms -> hippocampal transcriptomic enrichment for neurodegeneration-related pathways (Prion Disease, Alzheimer's Disease, Arachidonic Acid metabolism pathways), independent of lung-maturation benefit; betamethasone-acetate arm (smoother/lower-peak exposure) showed lung benefit WITHOUT this transcriptomic signal",not applicable,fetal (48h post-injection),not applicable,animal study - not RoB assessed,not applicable (animal/mechanistic evidence only - NOT clinical evidence),Q2/Q6,"PMID CONFIRMED via Q6 subagent's independent verification. The ONLY source identified anywhere in this search that explicitly models Regimen C (12mg dexamethasone x2, 12h apart) in a physiological system - an ANIMAL (ovine) study, found a neurodegenerative-pathway transcriptomic signal in the high-dose/12-hourly arm not seen with betamethasone-acetate's smoother exposure profile; authors frame 'high-concentration, pulsatile fetal steroid exposure' (peak-driven, not cumulative-dose-driven) as the mechanistic concern - directly relevant biological plausibility for the interval-compression question, but must be labelled animal/mechanistic evidence throughout, never presented as clinical evidence of human harm"
