id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
C1,Paez_2026,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2026 publication),1,Kell system - anti-k (anti-Cellano),DAT+ (positive direct Coombs test),38 weeks (term),not stated in abstract,intensive phototherapy (stated as initial management),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, after neonate developed anaemia and jaundice (exact timing not stated)",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"clinical course: progressive Hb decline despite IVIG/erythropoietin/iron, resolved only after RBC transfusion (mother's own k-negative blood, as compatible donor units unavailable)",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,RBC transfusion required (donor unit from k-negative mother); number of units not stated in abstract,not stated in abstract,not stated in abstract,ongoing haemolysis implied (Hb continued to fall despite IVIG/EPO/iron),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (term neonate, Kell/anti-k HDN, postnatal IVIG) but single case, no comparator arm",Very low,"downgraded for study design (single case report, no comparator - highest risk of bias by design) and imprecision (n=1)",not stated in abstract,"IVIG given alongside erythropoietin, iron and eventual transfusion; Hb continued to fall despite IVIG, and correction ultimately required transfusion - illustrates Kell's erythroid-suppression mechanism rather than pure haemolysis, consistent with IVIG's anti-haemolysis mechanism being less applicable",Y,41930090,10.7759/cureus.104540,"Anti-k (Cellano) is part of the Kell blood group system; case report only, no RCT evidence exists for Kell disease"
C2,Durrani_2022,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2022),1,Mixed - Anti-D + Anti-C (Rh system),not stated numerically in abstract,not stated in abstract,not stated in abstract,phototherapy (used; intensity not stated),not stated in abstract (raised serum bilirubin triggered exchange transfusion),not stated in abstract,not stated in abstract,not stated in abstract,postnatal (after jaundice/haemolysis identified in a male neonate born to a Rh-negative mother),"not stated in abstract (""intravenous immunoglobulin therapy"" - number of doses not given)",not applicable (case report - no comparator arm),not applicable (no control group),"clinical course: responded well to management, discharged; long-term follow-up revealed no side-effects",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,repeated blood transfusions given (number not stated in abstract),not stated in abstract,not stated in abstract,haemolysis and jaundice reported at presentation,not stated in abstract,not stated in abstract,"none reported (""no side-effects"" at long-term follow-up)",not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (neonate with combined anti-D+anti-C Rh HDN, postnatal treatment) but single case, no comparator; mixed-antibody phenotype distinct from isolated anti-D trials in Domain A",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"multimodal treatment (exchange transfusion, repeated blood transfusion, IVIG, immunosuppressive therapy all co-administered) precludes attributing outcome to IVIG specifically",Y,37013314,10.47391/JPMA.4564,Mixed Rh antibody (anti-D+anti-C) case; contributes to Domain C's 'mixed' category
C3,GutierrezVelez_2022,not stated (abstract not available via PubMed),not stated (abstract not available),not stated (abstract not available),case report,modern era (2022),1,Anti-c (Rh system),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),"not stated (abstract not available; title indicates IVIG given, then exchange transfusion)",not stated (abstract not available),not applicable (case report - no comparator arm),not applicable (no control group),title indicates the newborn developed necrotizing enterocolitis after IVIG administration and exchange transfusion; no further outcome detail available without abstract/full text,not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),"Yes - necrotizing enterocolitis reported (per title); no further detail (e.g. Bell stage, timing) available without full text",not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-c HDN, postnatal IVIG+exchange transfusion) but single case, title-only extraction",Very low,"downgraded for study design (single case report, no comparator, title-only extraction - abstract and full text not retrievable via PubMed MCP) and imprecision (n=1)",not stated (abstract not available),PubMed record has no abstract text and no PMC full text was retrievable this session; extraction is title-only. Directly relevant to Domain E (NEC after IVIG) as well as Domain C (anti-c),Y,36344387,10.1016/j.anpede.2022.10.001,"Title-only extraction - PubMed abstract field returned '[Abstract not available]' and no PMC ID exists for this record; verified as a real, indexed case report (PMID/DOI confirmed) but no numeric or narrative detail beyond the title could be extracted this session"
C4,Pandey_2022,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2022),1,"Mixed - Anti-D + Anti-C + Anti-E (Rh system, 3 antibodies)",not stated in abstract,not stated in abstract,not stated in abstract (no history of previous transfusion; sensitization mechanism unclear - IVF with sperm donation identified as likely cause),phototherapy (used; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,postnatal (primigravida pregnancy; neonate developed severe HDFN after birth),"not stated in abstract (""IvIg"" - number of doses not given)",not applicable (case report - no comparator arm),not applicable (no control group),"case report of severe HDFN managed with phototherapy, exchange transfusion and IVIG; outcome described only as the diagnostic/management pathway, no explicit long-term outcome statement in abstract",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract (exchange transfusion performed; simple/top-up transfusion not separately stated),not stated in abstract,not stated in abstract,severe HDFN with haemolysis implied by triple-antibody sensitization,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (neonate with triple Rh alloantibody HDFN, postnatal IVIG) but single case, no comparator; rare presentation in a primigravida",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,primigravida with no transfusion history; sensitization attributed retrospectively to IVF with donor sperm - illustrates diagnostic complexity of mixed non-D alloimmunisation rather than IVIG efficacy specifically,Y,35944885,10.1016/j.tracli.2022.08.004,Mixed Rh antibody (anti-D+anti-C+anti-E) case; contributes to Domain C's 'mixed' category
C5,SolerNoda_2021,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2021),1,Anti-e (Rh system),not stated in abstract,"not stated in abstract (""perinatal""/""infant"" - preterm vs term not specified)",not stated in abstract,phototherapy (used; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"not stated in abstract (postnatal, following diagnosis of severe anaemia and hyperbilirubinaemia)",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"resolution of the infant's anaemia and hyperbilirubinaemia after treatment with phototherapy, IVIG, and transfusion",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,transfusion given (number/type not stated in abstract),not stated in abstract,not stated in abstract,severe anaemia reported at presentation,not stated in abstract,not stated in abstract,none reported,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-e Rh HDN, postnatal IVIG) but single case, no comparator; anti-e is a rare non-D Rh antibody",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,IVIG co-administered with phototherapy and transfusion; individual contribution of IVIG cannot be isolated,Y,34170643,10.21307/immunohematology-2021-011,Anti-e case; contributes to Domain C's 'other Rh antibody' category
C6,Gustavsen_2020,Norway,not stated in abstract,not stated in abstract,case report,modern era (2020),1,Kell system - anti-Ku (K0 phenotype; pan-Kell antibody),not stated in abstract,36+6 weeks (labour induced at this gestation),not stated in abstract,phototherapy (used; intensity not stated),"not stated in abstract (labour induced for rising antibody titres and high fetal MCA Doppler velocities, not a postnatal bilirubin threshold)",not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, continued until haemoglobin normalised at 3 months of age",repeated infusions (exact number/interval not stated in abstract),not applicable (case report - no comparator arm),not applicable (no control group),"normalisation of haemoglobin at three months of age with phototherapy, repeated IVIG infusions and iron supplementation",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract (delivered vaginally without need for maternal transfusion; neonatal transfusion not explicitly stated),not stated in abstract,not stated in abstract,HDFN with delayed resolution over 3 months implied,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (Kell-system/anti-Ku HDFN, postnatal repeated IVIG) but single case, no comparator; K0 phenotype is exceptionally rare",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"only Domain C case identified with an explicit repeat-dosing course extending to 3 months of age - directly relevant to Domain D's repeat-dose question, though still only anecdotal (n=1)",Y,31948214,10.4045/tidsskr.19.0117,Anti-Ku is a pan-Kell antibody (reacts with all Kell system antigens) arising in the extremely rare K0 (Kell-null) phenotype; cross-referenced in Domain D for its repeat-dosing detail
C7,Venkataraman_2017,Canada,single centre (University of Calgary),Neonatology/NICU (implied by 'Section of Neonatology' affiliation),case report,not stated (2017 publication),1,"Other/rare antigen - Anti-SARA (low-frequency red cell antigen, first described 1990)",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract (both exchange transfusion and IVIG required),not stated in abstract,not stated in abstract,not stated in abstract,"postnatal (order relative to exchange transfusion not fully specified, but response was 'sustained after IVIG rather than after exchange transfusion')",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),sustained clinical response after IVIG (in contrast to a less sustained response after exchange transfusion),not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,exchange transfusion performed (number of units not stated in abstract),not stated in abstract,not stated in abstract,haemolytic disease of newborn due to anti-SARA,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (rare non-Rh, non-Kell, non-ABO alloantibody HDN, postnatal IVIG and exchange transfusion) but single case, no comparator",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"illustrates that 'other' alloantibody HDN extends beyond Kell/anti-c/anti-E to very rare antigens (e.g. SARA, MNS, Duffy, Kidd systems per abstract background); authors note IVIG's role in HDN generally 'is not clear'",Y,28854515,10.3233/NPM-16131,Explicitly states in its own background that the role of IVIG in HDN is not clear - supports Domain C's overall 'evidence base is case reports only' conclusion
C8,Usman_2013,Malaysia,not stated in abstract,not stated in abstract,case series (2 cases),not stated (2013 publication),2,Anti-E (Rh system),not stated in abstract,not stated in abstract,not stated in abstract,phototherapy (used in both; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,postnatal (both neonates treated by phototherapy and IVIG),not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"Case 1: severe hemolysis with severe anaemia, thrombocytopenia, conjugated hyperbilirubinaemia (required double-volume exchange transfusion in addition to phototherapy+IVIG). Case 2: moderate anaemia and unconjugated hyperbilirubinaemia (phototherapy+IVIG only, no exchange transfusion stated). Both had favourable outcomes.",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,Case 1 received double-volume exchange transfusion; Case 2 - not stated,not stated in abstract,not stated in abstract,severe hemolysis in Case 1; moderate in Case 2,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case series design),"Direct (anti-E Rh HDN, postnatal phototherapy+IVIG, one case also requiring exchange transfusion) but 2 cases, no comparator",Very low,"downgraded for study design (case series, no comparator) and imprecision (n=2)",not stated in abstract,one of two identified case reports specifically on anti-E treated with IVIG; both had favourable outcomes but neither isolates IVIG's individual contribution,Y,23559775,10.4103/0973-6247.106750,Anti-E case series (n=2); contributes to Domain C's anti-E category
C9,Onesimo_2010,Italy,not stated in abstract,not stated in abstract,case report,not stated (2010 publication),1,Anti-E (Rh system),not stated in abstract,not stated in abstract,not stated in abstract,phototherapy (IVIG used as adjuvant to phototherapy),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, adjuvant to phototherapy",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"successful treatment of anti-E HDN with IVIG as adjuvant to phototherapy (exchange transfusion avoided, per abstract framing that IVIG is used 'to reduce the need for exchange transfusion')",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-E Rh HDN, postnatal adjuvant IVIG) but single case, no comparator",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"second identified anti-E case report; author framing presents IVIG as reducing exchange-transfusion need generically, but this is an unreferenced assertion in the abstract, not a finding of this case report itself",Y,20092394,10.3109/14767050903544751,Anti-E case; contributes to Domain C's anti-E category
C10,Wagner_2000,Austria,not stated in abstract,"NICU (""transferred to the neonatal intensive care unit"")",case report,not stated (2000 publication),1,"Anti-Ce (Rh compound antigen, RH7)","DAT+ (positive DAT, titer 128)",40 weeks (term),not stated in abstract,double phototherapy,not stated in abstract (exchange transfusion performed after bilirubin continued to rise despite treatment),not stated in abstract,not stated in abstract,not stated in abstract,postnatal - transferred to NICU 25 hours after birth because of rapidly rising total serum bilirubin; IVIG given as part of intensive treatment before exchange transfusion,not stated in abstract (single course implied; furosemide/albumin/IVIG all given before ET),not applicable (case report - no comparator arm),not applicable (no control group),"despite intensive treatment including double phototherapy, albumin infusion, furosemide and IVIG, total serum bilirubin continued to rise and exchange transfusion was required; this produced a prompt decrease in bilirubin without relapse",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),"not stated numerically (bilirubin 'rapidly rising', prompting NICU transfer and subsequent exchange transfusion)",not stated in abstract,"exchange transfusion performed with 2 units (type O D-, C-, c+, E+, e-)",not stated in abstract,"not stated in abstract - vitamin K deficiency bleeding is listed as a MeSH term, suggesting a co-morbidity, not stated as an IVIG-related harm",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-Ce Rh HDN, postnatal IVIG) but single case, no comparator; treatment failed to prevent exchange transfusion despite IVIG",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"first identified anti-Ce case in this literature; notable as a case where IVIG (plus furosemide/albumin/double phototherapy) did NOT prevent exchange transfusion - a null anecdote, given equal billing per CLAUDE.md rule 7",Y,10827261,10.1046/j.1537-2995.2000.40050571.x,Anti-Ce is a compound Rh antigen (C and e in cis); rare cause of severe HDN requiring exchange transfusion despite IVIG
