id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
E1,Figueras-Aloy_2009,Spain,single centre,NICU,Retrospective observational cohort,16-year retrospective study; phototherapy standard not stated as intensive,492 (167 IVIG / 325 non-IVIG),"Mixed: Rh (n=91), ABO (n=401)",not stated in abstract,>=34 weeks,not stated in abstract,phototherapy (all included); not stated as intensive,IVIG indicated when TSB + 2 points reached 85% of ET cutoff; ET threshold itself not separately stated,not stated in abstract,500 mg/kg,2-4 hours,rescue (approaching ET threshold),not stated in abstract,non-IVIG (phototherapy alone) cohort,"not stated numerically (NEC, not ET, is this study's outcome)",necrotizing enterocolitis as risk-factor outcome,"adjusted OR 31.66 for IVIG (multivariate; cesarean OR 3.76, Apgar-5 OR 0.50 also independent predictors)",3.25,308.57,not stated numerically beyond CI,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,11/492 (2.2%) overall; 10/167 (6%) IVIG vs 1/325 (0.3%) non-IVIG; 5 required urgent operation; 1 died of massive intestinal necrosis; 1 died 2 years later of short bowel syndrome,not assessed in this report,not assessed in this report,not stated in abstract,not stated in abstract,not assessed in this report,not applied (observational),"High risk of bias (retrospective, not adjusted for bilirubin severity/rate of rise -- confounding by indication not addressed)",Direct (term/late-preterm Rh+ABO HDN; postnatal),Very Low,"downgraded for serious risk of bias (no adjustment for disease severity/indication) and serious imprecision (wide CI, few events)",not stated in abstract,landmark signal-generating study but does not adjust for the severity of haemolysis/bilirubin trajectory that itself drives both IVIG use and NEC risk -- confounding by indication not excluded,Y,19948572,10.1542/peds.2009-0676,"Most-cited single study underpinning the 2022 AAP guideline's caution against routine IVIG (PMID 35927519, cited narratively in domain-E.md)"
E2,Corvaglia_2012,Italy,single centre,NICU,Retrospective cohort,not stated in abstract,88 (34 no-IVIg / 54 IVIg),RhD,not stated in abstract,not stated in abstract,"recorded as exposure/outcome variable, proportion not stated in abstract",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,number of IVIg infusions recorded as a variable; exact count not stated in abstract,no-IVIg (exchange transfusion/standard care) cohort,not stated numerically (qualitatively lower EXT number in IVIg group),"composite: EXT number, neurological impairment, top-up transfusions, LOS, treatment-related adverse events","qualitative only in abstract: significantly lower EXT number, lower neurological-impairment risk, but longer phototherapy/LOS and more top-up transfusions in IVIg group",,,not stated numerically in abstract,not stated in abstract,longer in IVIg group (no absolute values in abstract),more in IVIg group (no absolute values in abstract) -- flagged by authors as a side effect to monitor,longer in IVIg group (no absolute values in abstract),2/54 (3.7%) IVIg group developed NEC; 0/34 in no-IVIg group,not stated in abstract,not stated in abstract,not stated in abstract,EXT associated with a 'high number of adverse events' (not further specified in abstract),lower risk of neurological impairment in IVIg group (no numeric value in abstract),not applied (observational),"High risk of bias (retrospective, unadjusted comparison, small n, only 2 NEC events)",Direct (Rh-HDN; postnatal),Very Low,"downgraded for serious risk of bias (retrospective, unadjusted, likely indication bias) and very serious imprecision (2 NEC events total)",not stated in abstract,"explicitly flags top-up-transfusion and NEC findings as side effects to monitor, but event counts too small for an effect estimate; direction of confounding (sicker infants selected for IVIg vs EXT) not addressed",Y,22882154,10.3109/14767058.2012.718387,Also relevant to Domain A/D (IVIg vs exchange transfusion comparison); extracted here for harms content
E3,Li_2022,China,tertiary centre,NICU,"Retrospective cohort with propensity score, interaction, univariate and multivariable logistic regression",modern era (Jan 2019-Oct 2021); most methodologically rigorous confounding-control study identified for this outcome,1259 (192 IVIG / 1067 non-IVIG),"HDN, not further speciated by antibody in abstract",not stated in abstract,>=34 weeks (late-preterm and term),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,early neonatal period (<7 days),not stated in abstract,non-IVIG (standard care) cohort within same registry,not applicable (ET not the outcome studied),confirmed necrotizing enterocolitis,"no significant association (univariate, p>0.05); multivariate NEC predictors were caesarean delivery, admission Hb <130 g/L, and PDA -- IVIG not independently associated; no interactive effect of IVIG for prematurity, low birth weight, caesarean, low Hb, or PDA",,,>0.05 (univariate),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,29/1259 (2.3%) overall; 5/192 (2.6%) IVIG vs 24/1067 (2.2%) non-IVIG,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed in this report,"not named in abstract, but propensity score/interaction/multivariable methods described",Moderate risk of bias (retrospective but explicit confounding-control methodology -- the best-controlled NEC-signal study identified),Direct (late-preterm and term HDN; postnatal),Low,"downgraded for risk of bias (retrospective, single-centre, residual unmeasured confounding possible) and imprecision (5 vs 24 events) -- but this is the only NEC-signal study explicitly designed to test confounding by indication, and it found none",not stated in abstract,single tertiary centre; propensity-score approach substantially reduces but cannot eliminate confounding by unmeasured severity markers (e.g. bilirubin rate of rise),Y,35613867,10.1111/vox.13297,Key counter-evidence to the Figueras-Aloy/Yang NEC signal; central to domain-E.md part (b) discussion of confounding by indication
E4,Yang_2016,China (4/5 pooled studies Chinese-database),multicentre (meta-analysis),NICU,Meta-analysis (random/fixed effects per heterogeneity) of 5 studies,pooled studies not individually dated in available abstract; search current to Dec 2015,not stated in abstract (5 studies pooled; total n not given),"hemolysis in neonates generally, not further specified by Rh/ABO in abstract",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,control (non-IVIG) groups across 5 pooled studies,not applicable,"incidence of NEC and mortality; baseline comparability (gestational age, gender, TBil, birth weight, SGA, formula feeding)","NEC OR 4.53; mortality not significantly increased; birth weight significantly different between groups (WMD 33.35 g, 95% CI 20.70-46.01) -- baseline imbalance",2.34,8.79,<0.00001 (NEC OR),not applicable,not stated in abstract,not stated in abstract,not stated in abstract,"pooled OR 4.53 (95% CI 2.34-8.79), p<0.00001; raw event counts not given in abstract",not applicable,not stated in abstract,not stated in abstract,mortality not significantly different between groups (no numeric value in abstract),not assessed in this report,not named in abstract,"High to Very High risk of bias (4/5 pooled studies Chinese-database, individual quality not described in available abstract; authors' own reported birth-weight imbalance suggests baseline non-comparability)",Direct in population (neonatal hemolytic disease) but indirect in applicability to a UK NICU given predominance of Chinese-database studies of unclear phototherapy standard/era,Very Low,"downgraded for serious risk of bias (unclear individual study quality, self-reported baseline birth-weight imbalance = confounding signal), serious indirectness (unclear UK-comparability), and publication bias (language/database-restricted small pooled literature)",not stated in abstract,abstract only; individual study quality and effect-direction adjustment for birth-weight imbalance not retrievable without full text; birth-weight imbalance itself is evidence of confounding by indication/severity between arms,Y,27735024,not available (no DOI returned by PubMed; PMID only),Main pooled quantitative NEC signal; directly contrasted with Li 2022's (E3) propensity-adjusted null result in domain-E.md part (b)
E5,Navarro_2009,Spain,"single centre (University Hospital La Fe, Valencia)",NICU,Case series,not stated in abstract,3,isoimmunization-derived (not further specified per case in abstract),not stated in abstract,term,not stated in abstract,refractory to phototherapy (triggered IVIg),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,rescue (refractory hyperbilirubinaemia),not stated in abstract,none (case series),not applicable,development of NEC following IVIg,not applicable (case series),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,3/3 developed NEC shortly after IVIg infusion; 1 required surgery; all needed antibiotics and prolonged parenteral nutrition,septicaemia and coagulopathy ruled out as alternative causes; haemolysis marker data not stated in abstract,mechanistic finding: histopathology of resected intestine showed disseminated thrombi obstructing multiple minor mesenteric vessels,not stated in abstract,not stated in abstract,not assessed,not applicable (case series -- no comparator),"Very high risk of bias for causal inference (case series, no comparator/denominator); valuable for mechanism only",Direct (term isoimmunised neonates; postnatal) for descriptive/mechanistic purposes only,Very Low,downgraded for very serious risk of bias inherent to case-series design (no comparator/denominator) and imprecision (n=3),not stated in abstract,no denominator/comparator; important as histopathological support for a thrombotic mechanism linking IVIg to NEC not as an incidence estimate,Y,19397554,10.1111/j.1651-2227.2009.01279.x,"Provides the mechanistic (thrombotic) hypothesis for the NEC signal; cited alongside Merlob 1990 (E11, same hypothesis in NAIT)"
E6,Kara_2013,Turkey,single centre,NICU,Case report,not stated in abstract,1,ABO,not stated in abstract,not stated (implied term/near-term),not applicable (ABO disease),phototherapy per standard protocol; not further specified,not stated in abstract,not stated in abstract,1 g/kg,not stated in abstract,rescue (significant hyperbilirubinaemia),2 courses (1 g/kg each),none (case report),not applicable,development of NEC after IVIG,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 developed NEC after two courses of 1 g/kg IVIG,not applicable/not stated,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (ABO HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"single case; repeat (2-course) high-dose regimen noted by authors as a specific caution; cumulative 2 g/kg dose is consistent with the >=2 g/kg threshold associated with IVIG-induced harm in the wider case-report literature (E14), though the harm reported here is NEC not haemolysis",Y,23930883,not available (no DOI returned by PubMed; pii only),Author explicitly recommends caution and monitoring for complications with repeat-dose IVIG in ABO HDN
E7,Atikan_2015,Turkey,single centre (Ege University),NICU,Case report,not stated in abstract,1,isoimmune (not further specified),not stated in abstract,term,not applicable/not stated,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none (case report),not applicable,acute abdominal complication after IVIG,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not classic diffuse NEC; authors describe perforated appendicitis as 'a localized form of necrotizing enterocolitis',not stated in abstract,not stated in abstract,onset within 10 hours of therapy (rapid post-infusion onset),perforated appendicitis requiring surgery; complete recovery after surgery,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (term isoimmune HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,illustrates that the NEC-spectrum harm signal may present focally (appendiceal) rather than as classic diffuse NEC -- possible under-ascertainment in studies using strict Bell-staging NEC definitions,N,25899199,not available (no DOI returned by PubMed; pii only),Onset within 10 hours of IVIG infusion -- a short latency consistent with other case reports in this domain
E8,Gutierrez-Velez_2022,Spain,single centre (Hospital General Universitario Gregorio Marañón),NICU,Case report,not stated in abstract,1,anti-c (Rh minor antigen),not stated in PubMed record,preterm,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,exchange transfusion (given as co-treatment before NEC),not applicable,development of NEC after IVIG + exchange transfusion,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 developed NEC after treatment with IVIG and exchange transfusion,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (preterm anti-c HDFN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"PubMed's own abstract field is empty for this record ('[Abstract not available]'); descriptive clinical content above is drawn from the Consensus MCP tool's excerpt of the same published article, with PMID/DOI/title/authors/journal independently verified via PubMed this session","Y (abstract not available on PubMed; content via Consensus excerpt of the same article, identifiers PubMed-verified)",36344387,10.1016/j.anpede.2022.10.001,Rare-antibody (anti-c) case; illustrates the NEC signal is not restricted to Rh-D or ABO disease
E9,Ciplak_2025,Turkey,single centre (Sivas Cumhuriyet University),NICU,Case report,not stated in abstract,1,haemolytic disease of newborn (antibody type not stated in available title/record),not stated in abstract,term,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none (case report),not applicable,fatal NEC following IVIG infusion,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 fatal NEC associated with IVIG infusion (per title; no further detail available),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (term HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"neither PubMed nor Consensus returned an abstract for this record; only the title ('Fatal Necrotising Enterocolitis Associated With IVIG Infusion in a Term Infant With Haemolytic Disease: Case Report') could be verified this session -- no further numeric or clinical detail transcribed, per CLAUDE.md rule 2",Y (abstract not available anywhere retrieved this session; title only),40405449,10.1111/jpc.70096,Most recent (2025) published case in this domain; title alone confirms the harm signal remains an active concern in the current literature
E10,Louis_Patil_2015,India,single centre (PGIMER Chandigarh),NICU (level III),Prospective observational study,Jul 2011-Aug 2012,30 neonates / 33 IVIg treatment instances,MIXED: Rh isoimmunization AND alloimmune thrombocytopenia (NAIT) -- population partly INDIRECT for HDFN,not stated in abstract,mean 36+/-2 weeks,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1 g/kg,not stated in abstract,not stated in abstract,not stated in abstract,within-subject (pre- vs post-IVIg Doppler measurements); no separate control group,not applicable,intestinal blood flow (coeliac and superior mesenteric artery Doppler indices) before/after IVIg,"SMA systolic/diastolic ratio lower immediately post-IVIg vs baseline: median (IQR) 5 (3,9) vs 7 (4,14); other Doppler indices (peak systolic velocity, end-diastolic velocity, time-averaged mean velocity, pulsatility index, resistive index) comparable to baseline at both time points",,,"0.02 (SMA S/D ratio only; other comparisons not significant, exact p not given)",not applicable,not applicable,not stated,not applicable,0/30 developed feed intolerance or NEC,not stated in abstract,not directly assessed (Doppler flow surrogate only; no significant adverse flow changes found),not stated in abstract,none reported,not assessed,"not applied (observational, no named RoB tool)","Moderate risk of bias (small n, single-arm before/after design, short follow-up, surrogate outcome)","Partially INDIRECT -- mixed HDN/NAIT population, Rh-HDN subset not separately reported in abstract",Low,"downgraded for indirectness (mixed HDN/NAIT population; surrogate Doppler outcome rather than clinical NEC) and imprecision (n=30, short follow-up)",not stated in abstract,"reassuring negative mechanistic finding (no significant intestinal blood-flow compromise, no NEC in this small prospective cohort) but underpowered to detect a NEC signal of the magnitude reported in E1-E4",Y,25598445,10.1007/s12098-014-1678-y,Only identified prospective mechanistic (Doppler) study directly testing the vascular/thrombotic hypothesis in vivo
