id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
B1,St Clair 2024,New Zealand (review of international studies),"Liggins Institute, University of Auckland (review base)",n/a (systematic review),systematic review and meta-analysis,71 studies (31 in quantitative analysis),not applicable (diagnostic accuracy review),not extracted,neonates at risk of hypoglycaemia across included studies,point-of-care glucose device methodologies (GO/GDH/HK x photometry/electrochemistry),standard laboratory glucose method,sensitivity and specificity of POC methods vs laboratory reference,HK+electrochemistry most accurate; all methods specificity >=93%,not a single pooled effect size (hierarchical random-effects diagnostic accuracy model),not reported as single CI,not reported as single CI,not applicable,"GO+electrochemistry, GDH+electrochemistry, HK+electrochemistry showed superior sensitivity to photometric methods",QUADAS-2,QUADAS-2,not extracted per-study,low-moderate (heterogeneous 71-study base),direct - spans multiple neonatal populations,Moderate,imprecision (HK+electrochemistry stratum only 2 studies); indirectness (pooled across heterogeneous reference standards/populations),NIH and non-US-government support (per PubMed record),not extracted,limited studies using best-performing HK+electrochemistry method,N,39675663,10.1016/j.jpeds.2024.114438,PROSPERO CRD42023488539; excluded CGM and pre-1990 studies; the key modern SR for Domain B,mixed (all neonatal GAs across included studies),not a single threshold (accuracy review across chemistries),point-of-care vs laboratory (multiple device chemistries),not applicable,"not applicable (accuracy review, not outcome study)"
B2,Dietzen 2013,USA,three pediatric centers,mixed (NICU and other),prospective evaluation study,575 blood samples,not applicable (diagnostic accuracy study),not extracted,infants <30 days of age; hematocrit 23-70%,modified quinoprotein-resistant glucose dehydrogenase POC chemistry (ACCU-CHEK Inform II/Performa/Aviva),coupled hexokinase reference (perchloric acid extracts),correlation and ROC accuracy for detecting hypoglycaemia,meter=0.99xreference+0.04; r2=0.976,not applicable (regression),not applicable,not applicable,not applicable,100% sensitivity for lab <2.2 mmol/L (40 mg/dL) when meter reading <2.8 mmol/L (50 mg/dL); AUC 0.993; weak hematocrit dependence outside typical neonatal range (45-70%),paired POC meter vs hexokinase lab reference,not applied (accuracy study),,"low-moderate (multicenter, but industry-adjacent device evaluation)",direct - neonatal population across 3 US centres,Moderate,imprecision (single device family); indirectness (hematocrit effect analysis pooled across full 23-70% range not just neonatal-typical),not extracted,not extracted,single device chemistry family tested,N,23931714,10.1089/dia.2013.0160,Establishes 2.8 mmol/L (50 mg/dL) POC cutoff giving 100% sensitivity for this device,<30 days of age (mixed GA),2.2 mmol/L / 40 mg/dL (lab reference for hypoglycaemia),point-of-care vs laboratory (hexokinase),not applicable (accuracy study),not applicable
B3,Kitsommart 2013,Thailand,"Siriraj Hospital, Bangkok (tertiary university hospital)",tertiary NICU,prospective cross-sectional comparative study,172 venous blood samples,not applicable (diagnostic accuracy study),not extracted,infants at risk for neonatal hypoglycaemia with initial low POC glucose,StatStrip (SS) and SureStep Flexx (SF) glucose meters,plasma glucose (central lab),sensitivity/NPV of POC devices at 2.8 mmol/L cutoff; effect of bilirubin/hematocrit,SS sensitivity 94.7% NPV 86.1%; SF sensitivity 100% NPV 100% at 2.8 mmol/L (50 mg/dL) cutoff,mean glucose difference SS 0.21 (SD 0.70) mmol/L; SF -0.04 (SD 0.78) mmol/L,not reported as CI,not reported as CI,not significant (hematocrit/bilirubin correlation),no correlation between mean glucose differences and hematocrit or bilirubin for either device,paired POC vs plasma glucose,not applied (accuracy study),,moderate,direct - at-risk neonates during high-risk screening period,Moderate,"imprecision (172 samples, single centre); indirectness (both devices already flagged as limited screening-only tools by the authors themselves)",not extracted,not extracted,authors conclude both devices have limited use compared to plasma glucose,N,23644649,10.1007/s00431-013-2019-2,Companion/related group to Ngerncham 2011 (same Thai group testing same device pair with different cutoff),1-24 hours of life (at-risk neonates),2.8 mmol/L / 50 mg/dL (device cutoff tested),point-of-care vs laboratory (plasma),not applicable (accuracy study),not applicable
B4,Ngerncham 2011,Thailand,"Siriraj Hospital, Bangkok (tertiary university hospital)",tertiary NICU,prospective study,180 blood specimens from 166 high-risk neonates,not applicable (diagnostic accuracy study),not extracted,high-risk neonates aged 1-24 hours,Nova StatStrip and SureStep glucometers,laboratory plasma glucose,sensitivity/specificity/NPV; cutoff for no-confirmation-needed,StatStrip sensitivity 62% specificity 100%; SureStep sensitivity 53.3% specificity 100%,mean differences 11.2 (SD 8.4) mg/dL (StatStrip); 13.7 (SD 6.8) mg/dL (SureStep),not reported as CI,not reported as CI,not reported,"cutoffs with 100% NPV: 63 mg/dL (3.5 mmol/L) StatStrip, 62 mg/dL (3.4 mmol/L) SureStep; both devices read higher than lab on average",paired POC vs plasma glucose,not applied (accuracy study),,moderate,"direct - high-risk neonates, first 24h",Moderate,"imprecision (single centre, 166 neonates); risk of bias (glucometer cutoffs derived and tested in the same sample - not externally validated)",not extracted,not extracted,explicit conclusion: neither glucometer has sufficient validity to replace laboratory testing; confirmatory testing needed for POC readings 39-63 mg/dL (StatStrip) and 39-62 mg/dL (SureStep),N,22317986,10.1007/s13312-012-0133-2,Derives a materially HIGHER confirmation cutoff (~3.5 mmol/L/63 mg/dL) than BAPM's operative 2.6 mmol/L/47 mg/dL - direct evidence for the (d) tension on confirm-below-X,1-24 hours of life (high-risk neonates),63 mg/dL / 3.5 mmol/L (StatStrip) and 62 mg/dL / 3.4 mmol/L (SureStep) - proposed confirmation cutoffs,point-of-care vs laboratory (plasma),not applicable (accuracy study),not applicable
B5,Roth-Kleiner 2010,Switzerland,"Centre Hospitalier Universitaire Vaudois, Lausanne","neonatal unit (retrospective, 1-year period)",retrospective evaluation study,1324 paired glycaemia results,not applicable (diagnostic accuracy study),not extracted,newborn infants requiring bedside glucose testing,three POCT systems: Elite XL; Ascensia Contour; ABL 735 blood gas analyser,central laboratory hexokinase reference method,agreement with ISO 15197 accuracy criteria,none of the three POCT systems met ISO 15197 accuracy criteria,not a single pooled effect size (device comparison study),not applicable,not applicable,not applicable,all three systems tended to OVERESTIMATE glycaemia; Contour showed important inaccuracy with increasing haematocrit; ABL 735 (blood gas) most accurate but requires >15x more blood volume than handheld glucometers,paired POC/blood-gas vs central lab hexokinase,not applied (accuracy study),,"moderate (large retrospective sample, single centre)",direct - newborn infant population,Moderate,"risk of bias (retrospective, single centre); inconsistency (all 3 systems failed ISO 15197 - a negative finding for the whole class of devices tested)",not extracted,not extracted,none of the 3 tested systems met the accuracy standard applied,N,20574734,10.1007/s00431-010-1243-2,"Systematic OVERESTIMATION - contrasts with Parikh 2025's later finding of systematic underestimation with a different device/era, illustrating inconsistent bias direction across studies (see synthesis d)",newborn infants (GA not further specified in abstract),not a single threshold (accuracy study vs ISO 15197 criteria),point-of-care and blood gas vs laboratory (hexokinase),not applicable (accuracy study),not applicable
B6,Innanen 1997,Canada,"Women's College Hospital, University of Toronto",neonatal intensive care unit,prospective quality-control comparison study,188 split samples,not applicable (diagnostic accuracy study),not extracted,NICU infants undergoing heel-stick glucose testing,Ames Glucometer Elite electrochemical glucose meter,Beckman CX7 central laboratory analyser,regression agreement; detection of Lo (hypoglycaemic) readings,r=0.93; Sy/x=0.59 mmol/L (reduced to 0.45 with on-ice delivery),intercept 0.47 +/- 0.14 mmol/L (1 SEM),not applicable,not applicable,"p<0.0001 (slope 0.91 +/- 0.028, 1 SEM)",29/30 samples read as Lo by Elite were <2.2 mmol/L on CX7 (only 1 was exactly 2.2 mmol/L); imprecision <5% CV at all tested levels,paired heel-stick POC vs central lab,not applied (accuracy study),,moderate,direct - NICU population,Moderate,"imprecision (single-centre, single device); indirectness (pre-dates modern electrochemical hexokinase/GDH devices by 15+ years)",not extracted,not extracted,classic early evidence; on-ice sample delivery reduced discordance from 24% to 8%,N,9003866,10.1016/s0022-3476(97)70326-3,"Historic baseline paper for Domain B; establishes sample-handling (on-ice delivery), not only device chemistry, as a source of accuracy variance",NICU infants (GA not specified),2.2 mmol/L / 40 mg/dL (reference hypoglycaemia threshold used for detection analysis),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B7,Schlebusch 1998,Germany,"University of Bonn, Center for Obstetrics and Gynecology",neonatal setting,comparative evaluation study,not specified (capillary blood from newborns),not applicable (diagnostic accuracy study),not extracted,newborns undergoing capillary blood glucose testing,"four portable analysers: HemoCue B-Glucose, Accu-Check III, One-touch II, Glucometer Elite",not explicitly stated reference method (implied laboratory reference),accuracy/precision; hematocrit/temperature/oxygen interference,only HemoCue B-Glucose met accuracy/precision requirements for neonates; other three devices inaccuracy not acceptable clinically,scatter of instrument II results ~1.6x greater than instrument I,not applicable,not applicable,not applicable,hematocrit influenced all devices (5% to 12% change per 10% hematocrit change); temperature and oxygen (instrument IV) markedly affected two devices,paired capillary POC vs reference method (not specified in abstract),not applied (accuracy study),,low (abstract-level detail only; reference method not fully specified),direct - newborn/neonatal population,Low,imprecision (methodological detail limited in available abstract); risk of bias (reference method not specified),not extracted,not extracted,abstract-only; full text not retrieved this session,Y [abstract only],9566281,not resolved in PubMed record,"One of the RESEARCH-BRIEF.md candidate PMIDs, screened and included; classic evidence for hematocrit/temperature/oxygen interference in neonatal glucometry",newborns (GA not specified),not a single threshold (device comparison study),point-of-care (capillary) vs reference method,not applicable (accuracy study),not applicable
B8,Tendl 2013,Austria,neonatal intensive care unit (two-site),tertiary NICU (two-site),prospective two-site evaluation study,159 heparinised whole blood samples,not applicable (diagnostic accuracy study),not extracted,NICU patients including preterm infants,Nova Biomedical StatStrip glucose meter,blood gas analyser (routine NICU reference method),accuracy (bias) and analytical interferences,"good clinical accuracy across wide glucose range (13-389 mg/dL, 0.7-21.6 mmol/L); no effect of hematocrit, pH, or medication",not a single pooled effect size (correlation/bias analysis),not reported as single CI,not reported as single CI,not applicable,"authors conclude StatStrip can act as a perfect alternative to a blood gas analyser for NICU glucose measurement, including preterm infants",paired POC vs blood gas analyser,not applied (accuracy study),,"low-moderate (two-site, 159 samples)",direct - NICU population including preterm infants,Moderate,"imprecision (two centres only); indirectness (specific device/chemistry, not generalisable to all POC devices)",not extracted,not extracted,positive finding specific to StatStrip's hexokinase/electrochemical chemistry - not generalisable to other device chemistries,N,23612555,10.1515/cclm-2012-0864,Preterm-inclusive evidence that a well-chosen device can match a blood gas analyser; consistent with St Clair 2024's HK+electrochemistry finding,NICU population including preterm infants (GA not further specified),not a single threshold (wide-range accuracy study 13-389 mg/dL),point-of-care vs blood gas analyser,not applicable (accuracy study),not applicable
B9,Hwang 2015,South Korea,Eulji University Hospital NICU,neonatal intensive care unit,prospective evaluation study,230 blood samples from 50 newborns,not applicable (diagnostic accuracy study),not extracted,preterm or low-birth-weight infants (<=2300g or <=36 weeks),"three glucometers: Precision Pcx, One-Touch Verio, LifeScan SureStep Flexx",laboratory chemical analyser (Advia),correlation coefficients overall and stratified by glucose <=60 mg/dL vs >60 mg/dL,correlation 0.888/0.884/0.900 overall; markedly lower at <=60 mg/dL (0.674/0.687/0.679) than >60 mg/dL (0.822/0.819/0.839),sensitivity 0.458/0.604/0.688 and specificity 0.995/0.989/0.989 at <=60 mg/dL for the three devices respectively,not reported as CI,not reported as CI,p>0.05 for device-vs-lab mean difference after correction,"low sensitivity for hypoglycaemia detection despite high specificity across all three devices, in this preterm/LBW-specific population",paired POC vs laboratory analyser,not applied (accuracy study),,moderate,direct - preterm/LBW population specifically,Moderate,"imprecision (50 infants, single centre); the paper's own conclusion states correlation is lower in preterm/LBW infants than adult literature generally reports",not extracted,not extracted,preterm-specific demonstration of low-end accuracy degradation,N,26388895,10.3345/kjp.2015.58.8.301,Directly answers the preterm-specific accuracy question the brief asks about (combo #4),<=36 weeks gestation or <=2300g (preterm/LBW specific),60 mg/dL / 3.3 mmol/L (stratification cutoff),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B10,Brooks 2023,USA,Monroe Carell Jr. Children's Hospital at Vanderbilt,neonatal intensive care unit,prospective comparison study,40 neonates,not applicable (diagnostic accuracy study),not extracted,preterm and ill neonates with umbilical arterial catheter access,blood glucose monitor (Inform II) on capillary (heel-stick) and arterial samples,YSI 2300 Stat Plus plasma glucose (arterial sample),proportion of results meeting CLSI/FDA tolerance criteria,arterial BGM results predominantly met CLSI/FDA criteria; capillary results markedly less reliable,27.5% of capillary BGM results fell outside CLSI/FDA tolerance criteria (vs low discordance for arterial),not reported as CI,not reported as CI,not reported,discrepancy attributed to capillary sampling/perfusion factors rather than device chemistry (same device used for both sample types),paired capillary and arterial POC vs plasma reference,not applied (accuracy study),,moderate,direct - preterm and ill neonates (explicitly addressing generalisability gap from healthy-term-only prior studies),Moderate,"imprecision (single centre, n=40); indirectness (preterm/ill population may not generalise to the healthy late-preterm/term population BAPM's screening pathway primarily targets)",NIH/US PHS support (per PubMed record),not extracted,"authors explicitly note prior BGM studies mostly included healthy-term neonates only, limiting applicability to preterm/ill infants - this study fills that gap",N,37864354,10.1177/19322968231207861,Directly demonstrates capillary (the default cot-side sampling route) is less reliable than arterial with the SAME device - a sampling-technique finding distinct from device-chemistry findings,preterm and ill neonates (GA not further specified in abstract),not a single threshold (CLSI/FDA tolerance criteria applied),point-of-care capillary vs arterial vs laboratory (YSI reference),not applicable (accuracy study),not applicable
